openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 30041
exact = 1.269353633414169e+00
n = 94, r = 1, dH = -0.492149, is_accept = 1
n = 95, r = 1, dH = -0.392043, is_accept = 1
n = 96, r = 0.515352, dH = 0.662904, is_accept = 1
n = 97, r = 1, dH = -0.47271, is_accept = 1
n = 98, r = 1, dH = -0.264046, is_accept = 1
n = 99, r = 0.571104, dH = 0.560184, is_accept = 0
n = 100, r = 0.961818, dH = 0.0389296, is_accept = 1
n = 101, r = 1, dH = -0.22642, is_accept = 1
n = 102, r = 0.497815, dH = 0.697526, is_accept = 1
n = 103, r = 1, dH = -0.61145, is_accept = 1
n = 104, r = 1, dH = -0.0180155, is_accept = 1
n = 105, r = 0.913605, dH = 0.0903573, is_accept = 1
n = 106, r = 1, dH = -0.0415784, is_accept = 1
n = 107, r = 0.876551, dH = 0.13176, is_accept = 1
n = 108, r = 1, dH = -0.252906, is_accept = 1
n = 109, r = 0.962043, dH = 0.038696, is_accept = 1
n = 110, r = 1, dH = -0.261218, is_accept = 1
n = 111, r = 1, dH = -0.438114, is_accept = 1
n = 112, r = 0.309586, dH = 1.17252, is_accept = 0
n = 113, r = 0.58795, dH = 0.531114, is_accept = 1
n = 114, r = 0.962454, dH = 0.0382687, is_accept = 1
n = 115, r = 1, dH = -0.167805, is_accept = 1
n = 116, r = 1, dH = -0.103108, is_accept = 1
n = 117, r = 1, dH = -0.126561, is_accept = 1
n = 118, r = 0.782159, dH = 0.245698, is_accept = 0
n = 119, r = 0.685534, dH = 0.377557, is_accept = 0
n = 120, r = 0.592119, dH = 0.524048, is_accept = 1
n = 121, r = 1, dH = -0.373772, is_accept = 1
n = 122, r = 1, dH = -0.251382, is_accept = 1
n = 123, r = 0.531137, dH = 0.632735, is_accept = 1
n = 124, r = 1, dH = -0.852684, is_accept = 1
n = 125, r = 0.430571, dH = 0.842643, is_accept = 0
n = 126, r = 0.395404, dH = 0.927847, is_accept = 1
n = 127, r = 1, dH = -0.27333, is_accept = 1
n = 128, r = 0.687086, dH = 0.375296, is_accept = 1
n = 129, r = 1, dH = -0.508999, is_accept = 1
n = 130, r = 1, dH = -0.117214, is_accept = 1
n = 131, r = 0.66414, dH = 0.409262, is_accept = 1
