openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 29046
exact = 7.987447601192592e-01
n = 108, r = 1, dH = -0.0559943, is_accept = 1
n = 109, r = 0.554561, dH = 0.589578, is_accept = 1
n = 110, r = 1, dH = -0.253322, is_accept = 1
n = 111, r = 1, dH = -0.252801, is_accept = 1
n = 112, r = 0.706436, dH = 0.347522, is_accept = 1
n = 113, r = 1, dH = -0.0841506, is_accept = 1
n = 114, r = 0.539373, dH = 0.617349, is_accept = 0
n = 115, r = 0.474582, dH = 0.745322, is_accept = 1
n = 116, r = 1, dH = -0.968882, is_accept = 1
n = 117, r = 0.436336, dH = 0.829343, is_accept = 0
n = 118, r = 0.771319, dH = 0.259653, is_accept = 1
n = 119, r = 0.679766, dH = 0.386007, is_accept = 1
n = 120, r = 0.981674, dH = 0.018496, is_accept = 1
n = 121, r = 0.959115, dH = 0.0417447, is_accept = 1
n = 122, r = 1, dH = -0.369581, is_accept = 1
n = 123, r = 0.830536, dH = 0.185684, is_accept = 1
n = 124, r = 1, dH = -0.103659, is_accept = 1
n = 125, r = 0.830549, dH = 0.185668, is_accept = 1
n = 126, r = 1, dH = -0.0702344, is_accept = 1
n = 127, r = 1, dH = -0.498709, is_accept = 1
n = 128, r = 0.473239, dH = 0.748155, is_accept = 0
n = 129, r = 0.70286, dH = 0.352598, is_accept = 0
n = 130, r = 0.310083, dH = 1.17091, is_accept = 0
n = 131, r = 0.693571, dH = 0.365902, is_accept = 0
n = 132, r = 0.648799, dH = 0.432633, is_accept = 0
n = 133, r = 0.475626, dH = 0.743124, is_accept = 1
n = 134, r = 1, dH = -0.690664, is_accept = 1
n = 135, r = 0.913663, dH = 0.090294, is_accept = 1
n = 136, r = 1, dH = -0.286535, is_accept = 1
n = 137, r = 0.719609, dH = 0.329047, is_accept = 1
n = 138, r = 0.940446, dH = 0.0614016, is_accept = 1
n = 139, r = 0.801158, dH = 0.221697, is_accept = 1
n = 140, r = 1, dH = -0.0584656, is_accept = 1
n = 141, r = 0.536029, dH = 0.623567, is_accept = 0
n = 142, r = 0.643469, dH = 0.440881, is_accept = 1
n = 143, r = 0.771417, dH = 0.259526, is_accept = 1
n = 144, r = 0.945748, dH = 0.055779, is_accept = 1
n = 145, r = 1, dH = -0.722783, is_accept = 1
n = 146, r = 1, dH = -0.222551, is_accept = 1
n = 147, r = 0.247607, dH = 1.39591, is_accept = 1
n = 148, r = 1, dH = -0.15132, is_accept = 1
n = 149, r = 1, dH = -0.0170953, is_accept = 1
n = 150, r = 1, dH = -0.364522, is_accept = 1
n = 151, r = 0.630958, dH = 0.460516, is_accept = 0
n = 152, r = 0.67947, dH = 0.386443, is_accept = 1
n = 153, r = 0.823405, dH = 0.194307, is_accept = 1
n = 154, r = 1, dH = -0.701557, is_accept = 1
n = 155, r = 1, dH = -0.240483, is_accept = 1
n = 156, r = 1, dH = -0.447684, is_accept = 1
n = 157, r = 0.5824, dH = 0.540598, is_accept = 0
n = 158, r = 0.200151, dH = 1.60868, is_accept = 0
n = 159, r = 0.749523, dH = 0.288318, is_accept = 1
n = 160, r = 0.670403, dH = 0.399877, is_accept = 1
n = 161, r = 1, dH = -0.290165, is_accept = 1
n = 162, r = 1, dH = -0.0296765, is_accept = 1
n = 163, r = 0.833846, dH = 0.181707, is_accept = 1
n = 164, r = 0.859266, dH = 0.151677, is_accept = 1
n = 165, r = 1, dH = -0.438187, is_accept = 1
n = 166, r = 0.758024, dH = 0.27704, is_accept = 0
n = 167, r = 0.788818, dH = 0.237219, is_accept = 1
n = 168, r = 0.875287, dH = 0.133204, is_accept = 1
n = 169, r = 1, dH = -0.020738, is_accept = 1
n = 170, r = 0.599354, dH = 0.511903, is_accept = 1
n = 171, r = 1, dH = -0.136423, is_accept = 1
n = 172, r = 0.875602, dH = 0.132843, is_accept = 1
n = 173, r = 0.702542, dH = 0.353051, is_accept = 1
n = 174, r = 1, dH = -0.807425, is_accept = 1
n = 175, r = 0.795309, dH = 0.229024, is_accept = 1
n = 176, r = 0.835925, dH = 0.179217, is_accept = 1
n = 177, r = 1, dH = -0.37025, is_accept = 1
n = 178, r = 1, dH = -0.00287542, is_accept = 1
n = 179, r = 0.346245, dH = 1.06061, is_accept = 0
n = 180, r = 1, dH = -0.0752465, is_accept = 1
n = 181, r = 0.734788, dH = 0.308174, is_accept = 1
n = 182, r = 1, dH = -0.130483, is_accept = 1
n = 183, r = 1, dH = -0.285521, is_accept = 1
n = 184, r = 1, dH = -0.0920475, is_accept = 1
n = 185, r = 0.936685, dH = 0.065408, is_accept = 1
n = 186, r = 0.368638, dH = 0.997939, is_accept = 0
n = 187, r = 0.541908, dH = 0.61266, is_accept = 1
n = 188, r = 0.926414, dH = 0.0764337, is_accept = 1
n = 189, r = 0.615268, dH = 0.485698, is_accept = 1
n = 190, r = 1, dH = -0.466398, is_accept = 1
n = 191, r = 1, dH = -0.698981, is_accept = 1
n = 192, r = 0.58711, dH = 0.532544, is_accept = 1
n = 193, r = 1, dH = -0.0385152, is_accept = 1
n = 194, r = 0.841817, dH = 0.172193, is_accept = 1
n = 195, r = 1, dH = -0.480764, is_accept = 1
n = 196, r = 0.454699, dH = 0.78812, is_accept = 1
n = 197, r = 1, dH = -0.208715, is_accept = 1
n = 198, r = 0.889685, dH = 0.116887, is_accept = 1
n = 199, r = 0.979294, dH = 0.0209229, is_accept = 1
n = 200, r = 1, dH = -0.0472513, is_accept = 1
n = 201, r = 0.781505, dH = 0.246534, is_accept = 0
n = 202, r = 1, dH = -0.743396, is_accept = 1
n = 203, r = 0.473681, dH = 0.747221, is_accept = 1
n = 204, r = 0.721193, dH = 0.326849, is_accept = 1
n = 205, r = 1, dH = -0.244034, is_accept = 1
n = 206, r = 0.65399, dH = 0.424664, is_accept = 0
n = 207, r = 0.853173, dH = 0.158794, is_accept = 1
n = 208, r = 1, dH = -0.013113, is_accept = 1
n = 209, r = 1, dH = -0.0340454, is_accept = 1
n = 210, r = 0.879569, dH = 0.128323, is_accept = 1
n = 211, r = 0.672991, dH = 0.396024, is_accept = 0
n = 212, r = 1, dH = -0.162365, is_accept = 1
n = 213, r = 0.93125, dH = 0.0712273, is_accept = 1
n = 214, r = 1, dH = -0.0906298, is_accept = 1
n = 215, r = 0.857993, dH = 0.15316, is_accept = 1
n = 216, r = 1, dH = -0.0406618, is_accept = 1
n = 217, r = 1, dH = -0.439717, is_accept = 1
n = 218, r = 0.953073, dH = 0.0480635, is_accept = 1
n = 219, r = 0.775626, dH = 0.254085, is_accept = 1
n = 220, r = 1, dH = -0.394613, is_accept = 1
n = 221, r = 1, dH = -0.218787, is_accept = 1
n = 222, r = 1, dH = -0.197117, is_accept = 1
n = 223, r = 1, dH = -0.00649451, is_accept = 1
n = 224, r = 0.515049, dH = 0.663493, is_accept = 1
n = 225, r = 1, dH = -1.20251, is_accept = 1
n = 226, r = 0.875337, dH = 0.133146, is_accept = 1
n = 227, r = 0.411834, dH = 0.887134, is_accept = 1
n = 228, r = 1, dH = -0.00661828, is_accept = 1
n = 229, r = 1, dH = -0.297043, is_accept = 1
n = 230, r = 0.812778, dH = 0.207297, is_accept = 0
n = 231, r = 0.844801, dH = 0.168654, is_accept = 1
n = 232, r = 0.980939, dH = 0.0192447, is_accept = 1
n = 233, r = 1, dH = -0.0908487, is_accept = 1
