openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 14403
exact = 6.490283582918644e-01
n = 0, r = 1.50652e-07, dH = 15.7083, is_accept = 1
n = 1, r = 0.0627222, dH = 2.76904, is_accept = 1
n = 2, r = 0.219881, dH = 1.51467, is_accept = 1
n = 3, r = 1, dH = -0.133638, is_accept = 1
n = 4, r = 1, dH = -0.228393, is_accept = 1
n = 5, r = 0.62384, dH = 0.471861, is_accept = 1
n = 6, r = 1, dH = -0.440578, is_accept = 1
n = 7, r = 0.534208, dH = 0.626971, is_accept = 1
n = 8, r = 0.996467, dH = 0.00353916, is_accept = 1
n = 9, r = 1, dH = -0.254869, is_accept = 1
n = 10, r = 1, dH = -0.372205, is_accept = 1
n = 11, r = 1, dH = -0.489668, is_accept = 1
n = 12, r = 1, dH = -0.210942, is_accept = 1
n = 13, r = 0.912063, dH = 0.092046, is_accept = 1
n = 14, r = 0.79012, dH = 0.235571, is_accept = 1
n = 15, r = 0.968714, dH = 0.031786, is_accept = 1
n = 16, r = 1, dH = -0.33488, is_accept = 1
n = 17, r = 0.416982, dH = 0.874712, is_accept = 1
n = 18, r = 1, dH = -0.652243, is_accept = 1
n = 19, r = 0.684295, dH = 0.379367, is_accept = 1
n = 20, r = 1, dH = -1.03647, is_accept = 1
n = 21, r = 0.739175, dH = 0.30222, is_accept = 1
n = 22, r = 0.566317, dH = 0.568601, is_accept = 1
n = 23, r = 1, dH = -0.342113, is_accept = 1
n = 24, r = 0.822279, dH = 0.195675, is_accept = 1
n = 25, r = 0.481134, dH = 0.731609, is_accept = 1
n = 26, r = 1, dH = -1.08967, is_accept = 1
n = 27, r = 1, dH = -0.155655, is_accept = 1
n = 28, r = 1, dH = -0.48813, is_accept = 1
n = 29, r = 0.83518, dH = 0.180108, is_accept = 1
n = 30, r = 0.462494, dH = 0.771121, is_accept = 0
n = 31, r = 1, dH = -0.168412, is_accept = 1
n = 32, r = 0.542435, dH = 0.611686, is_accept = 0
n = 33, r = 0.391972, dH = 0.936564, is_accept = 0
n = 34, r = 0.845209, dH = 0.168172, is_accept = 1
n = 35, r = 1, dH = -0.203386, is_accept = 1
n = 36, r = 0.566042, dH = 0.569087, is_accept = 1
n = 37, r = 1, dH = -0.180646, is_accept = 1
n = 38, r = 0.892524, dH = 0.113702, is_accept = 1
n = 39, r = 1, dH = -0.367787, is_accept = 1
n = 40, r = 0.484142, dH = 0.725378, is_accept = 1
n = 41, r = 1, dH = -0.479234, is_accept = 1
n = 42, r = 1, dH = -0.262922, is_accept = 1
n = 43, r = 0.752213, dH = 0.284735, is_accept = 1
n = 44, r = 0.841959, dH = 0.172023, is_accept = 1
n = 45, r = 0.800831, dH = 0.222105, is_accept = 0
n = 46, r = 1, dH = -0.350385, is_accept = 1
n = 47, r = 0.791062, dH = 0.234378, is_accept = 1
n = 48, r = 0.803247, dH = 0.219094, is_accept = 1
n = 49, r = 0.768552, dH = 0.263247, is_accept = 1
n = 50, r = 0.735968, dH = 0.306569, is_accept = 1
n = 51, r = 1, dH = -0.709501, is_accept = 1
n = 52, r = 1, dH = -0.949552, is_accept = 1
n = 53, r = 0.773386, dH = 0.256977, is_accept = 0
n = 54, r = 0.695977, dH = 0.362438, is_accept = 0
n = 55, r = 0.609602, dH = 0.49495, is_accept = 0
n = 56, r = 0.519019, dH = 0.655815, is_accept = 1
n = 57, r = 1, dH = -0.234149, is_accept = 1
n = 58, r = 0.947218, dH = 0.0542264, is_accept = 1
n = 59, r = 0.928897, dH = 0.0737571, is_accept = 1
n = 60, r = 1, dH = -0.938375, is_accept = 1
n = 61, r = 0.372155, dH = 0.988444, is_accept = 1
