openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 31405
exact = 1.308679262677227e+00
n = 108, r = 0.645809, dH = 0.437252, is_accept = 1
n = 109, r = 1, dH = -0.41241, is_accept = 1
n = 110, r = 0.684247, dH = 0.379437, is_accept = 1
n = 111, r = 1, dH = -0.395555, is_accept = 1
n = 112, r = 1, dH = -0.576657, is_accept = 1
n = 113, r = 1, dH = -0.221921, is_accept = 1
n = 114, r = 0.632342, dH = 0.458325, is_accept = 0
n = 115, r = 1, dH = -0.0652904, is_accept = 1
n = 116, r = 0.410497, dH = 0.890386, is_accept = 0
n = 117, r = 1, dH = -0.229379, is_accept = 1
n = 118, r = 0.781612, dH = 0.246397, is_accept = 0
n = 119, r = 0.623949, dH = 0.471687, is_accept = 1
n = 120, r = 1, dH = -0.666614, is_accept = 1
n = 121, r = 0.232668, dH = 1.45814, is_accept = 0
n = 122, r = 0.969007, dH = 0.0314838, is_accept = 0
n = 123, r = 1, dH = -0.399949, is_accept = 1
n = 124, r = 0.407185, dH = 0.898489, is_accept = 0
n = 125, r = 0.290196, dH = 1.2372, is_accept = 0
n = 126, r = 0.394595, dH = 0.929896, is_accept = 0
n = 127, r = 0.523282, dH = 0.647635, is_accept = 1
n = 128, r = 0.46066, dH = 0.775094, is_accept = 1
n = 129, r = 1, dH = -1.01681, is_accept = 1
n = 130, r = 1, dH = -0.00401788, is_accept = 1
n = 131, r = 0.857752, dH = 0.153441, is_accept = 1
n = 132, r = 0.923322, dH = 0.0797777, is_accept = 1
n = 133, r = 0.4009, dH = 0.914044, is_accept = 0
n = 134, r = 0.535395, dH = 0.62475, is_accept = 1
n = 135, r = 1, dH = -0.135027, is_accept = 1
n = 136, r = 1, dH = -0.155464, is_accept = 1
n = 137, r = 0.664318, dH = 0.408994, is_accept = 1
n = 138, r = 1, dH = -0.765503, is_accept = 1
n = 139, r = 0.523136, dH = 0.647914, is_accept = 0
n = 140, r = 0.754625, dH = 0.281534, is_accept = 1
n = 141, r = 0.83345, dH = 0.182181, is_accept = 1
n = 142, r = 1, dH = -0.664419, is_accept = 1
n = 143, r = 0.775149, dH = 0.2547, is_accept = 1
n = 144, r = 1, dH = -0.12961, is_accept = 1
n = 145, r = 0.727029, dH = 0.318789, is_accept = 1
n = 146, r = 1, dH = -0.45537, is_accept = 1
n = 147, r = 1, dH = -0.520436, is_accept = 1
n = 148, r = 0.658581, dH = 0.417668, is_accept = 1
n = 149, r = 1, dH = -0.22594, is_accept = 1
n = 150, r = 0.901159, dH = 0.104074, is_accept = 0
n = 151, r = 1, dH = -0.699711, is_accept = 1
n = 152, r = 0.827693, dH = 0.189113, is_accept = 1
n = 153, r = 1, dH = -0.0503404, is_accept = 1
n = 154, r = 0.506606, dH = 0.680021, is_accept = 1
n = 155, r = 0.673449, dH = 0.395344, is_accept = 1
n = 156, r = 1, dH = -0.254421, is_accept = 1
n = 157, r = 1, dH = -0.471213, is_accept = 1
n = 158, r = 1, dH = -0.25678, is_accept = 1
n = 159, r = 1, dH = -0.100973, is_accept = 1
n = 160, r = 1, dH = -0.142855, is_accept = 1
n = 161, r = 0.797212, dH = 0.226635, is_accept = 0
n = 162, r = 0.533041, dH = 0.629156, is_accept = 0
n = 163, r = 0.830622, dH = 0.185581, is_accept = 0
n = 164, r = 0.291557, dH = 1.23252, is_accept = 0
n = 165, r = 0.347546, dH = 1.05686, is_accept = 0
n = 166, r = 0.520886, dH = 0.652224, is_accept = 1
n = 167, r = 0.834071, dH = 0.181437, is_accept = 1
n = 168, r = 1, dH = -0.364926, is_accept = 1
n = 169, r = 0.822455, dH = 0.195462, is_accept = 1
n = 170, r = 1, dH = -0.390065, is_accept = 1
n = 171, r = 0.698659, dH = 0.358593, is_accept = 1
n = 172, r = 1, dH = -0.384231, is_accept = 1
n = 173, r = 0.798717, dH = 0.224749, is_accept = 0
n = 174, r = 1, dH = -0.263888, is_accept = 1
n = 175, r = 0.417183, dH = 0.87423, is_accept = 1
n = 176, r = 0.85939, dH = 0.151533, is_accept = 1
n = 177, r = 0.854319, dH = 0.157451, is_accept = 1
n = 178, r = 1, dH = -0.550733, is_accept = 1
n = 179, r = 1, dH = -0.261592, is_accept = 1
n = 180, r = 0.564617, dH = 0.571608, is_accept = 1
n = 181, r = 0.989448, dH = 0.0106086, is_accept = 1
n = 182, r = 0.879536, dH = 0.128361, is_accept = 1
n = 183, r = 0.8804, dH = 0.127379, is_accept = 1
n = 184, r = 1, dH = -0.359609, is_accept = 1
n = 185, r = 1, dH = -0.244616, is_accept = 1
n = 186, r = 1, dH = -0.361421, is_accept = 1
n = 187, r = 1, dH = -0.0160729, is_accept = 1
n = 188, r = 0.915381, dH = 0.0884152, is_accept = 1
n = 189, r = 0.569119, dH = 0.563666, is_accept = 0
n = 190, r = 1, dH = -0.302, is_accept = 1
n = 191, r = 0.883593, dH = 0.123758, is_accept = 1
n = 192, r = 0.689267, dH = 0.372126, is_accept = 1
n = 193, r = 1, dH = -0.238651, is_accept = 1
n = 194, r = 1, dH = -0.387392, is_accept = 1
n = 195, r = 0.899951, dH = 0.105415, is_accept = 1
n = 196, r = 0.608122, dH = 0.49738, is_accept = 1
n = 197, r = 1, dH = -0.47619, is_accept = 1
n = 198, r = 0.981677, dH = 0.0184925, is_accept = 1
n = 199, r = 0.452923, dH = 0.792034, is_accept = 0
n = 200, r = 0.458592, dH = 0.779594, is_accept = 0
n = 201, r = 0.346819, dH = 1.05895, is_accept = 1
n = 202, r = 0.907281, dH = 0.0973028, is_accept = 1
n = 203, r = 1, dH = -0.0766331, is_accept = 1
n = 204, r = 0.95054, dH = 0.0507253, is_accept = 1
n = 205, r = 0.643872, dH = 0.440256, is_accept = 1
n = 206, r = 1, dH = -0.228423, is_accept = 1
n = 207, r = 1, dH = -0.214688, is_accept = 1
n = 208, r = 1, dH = -0.297781, is_accept = 1
n = 209, r = 0.826899, dH = 0.190072, is_accept = 1
n = 210, r = 1, dH = -0.399272, is_accept = 1
n = 211, r = 0.729895, dH = 0.314854, is_accept = 0
n = 212, r = 0.958033, dH = 0.0428735, is_accept = 1
n = 213, r = 1, dH = -0.778057, is_accept = 1
n = 214, r = 0.322465, dH = 1.13176, is_accept = 1
n = 215, r = 1, dH = -0.642799, is_accept = 1
n = 216, r = 0.322444, dH = 1.13183, is_accept = 0
n = 217, r = 1, dH = -0.498305, is_accept = 1
n = 218, r = 0.564415, dH = 0.571966, is_accept = 0
n = 219, r = 0.636572, dH = 0.451658, is_accept = 1
n = 220, r = 0.697296, dH = 0.360546, is_accept = 1
n = 221, r = 1, dH = -0.403, is_accept = 1
n = 222, r = 0.583082, dH = 0.539427, is_accept = 1
n = 223, r = 1, dH = -0.457825, is_accept = 1
n = 224, r = 1, dH = -0.0530122, is_accept = 1
n = 225, r = 0.534164, dH = 0.627052, is_accept = 1
n = 226, r = 0.525342, dH = 0.643706, is_accept = 1
n = 227, r = 1, dH = -0.419843, is_accept = 1
n = 228, r = 0.562254, dH = 0.575802, is_accept = 1
n = 229, r = 1, dH = -0.962475, is_accept = 1
n = 230, r = 0.785376, dH = 0.241593, is_accept = 1
n = 231, r = 0.731654, dH = 0.312448, is_accept = 1
n = 232, r = 1, dH = -0.137567, is_accept = 1
n = 233, r = 1, dH = -0.528238, is_accept = 1
n = 234, r = 1, dH = -0.133689, is_accept = 1
n = 235, r = 0.572035, dH = 0.558555, is_accept = 0
n = 236, r = 0.551525, dH = 0.595067, is_accept = 1
n = 237, r = 0.953725, dH = 0.0473803, is_accept = 1
n = 238, r = 0.600016, dH = 0.510799, is_accept = 0
n = 239, r = 0.691817, dH = 0.368434, is_accept = 0
n = 240, r = 1, dH = -0.0115055, is_accept = 1
n = 241, r = 0.874707, dH = 0.133867, is_accept = 1
n = 242, r = 0.774162, dH = 0.255974, is_accept = 1
n = 243, r = 1, dH = -0.484178, is_accept = 1
n = 244, r = 0.931935, dH = 0.0704921, is_accept = 1
n = 245, r = 1, dH = -0.224457, is_accept = 1
n = 246, r = 1, dH = -0.0295115, is_accept = 1
n = 247, r = 0.54024, dH = 0.615742, is_accept = 1
n = 248, r = 1, dH = -0.518631, is_accept = 1
n = 249, r = 1, dH = -0.0673875, is_accept = 1
n = 250, r = 0.800051, dH = 0.22308, is_accept = 1
n = 251, r = 0.912886, dH = 0.0911442, is_accept = 1
n = 252, r = 1, dH = -0.117989, is_accept = 1
n = 253, r = 1, dH = -0.3269, is_accept = 1
n = 254, r = 0.451902, dH = 0.794289, is_accept = 1
n = 255, r = 0.812513, dH = 0.207624, is_accept = 1
n = 256, r = 1, dH = -0.405648, is_accept = 1
n = 257, r = 0.685479, dH = 0.377637, is_accept = 1
n = 258, r = 0.931719, dH = 0.0707245, is_accept = 1
n = 259, r = 1, dH = -0.454289, is_accept = 1
n = 260, r = 0.637622, dH = 0.450009, is_accept = 1
n = 261, r = 1, dH = -0.182223, is_accept = 1
n = 262, r = 1, dH = -0.360381, is_accept = 1
n = 263, r = 0.595528, dH = 0.518307, is_accept = 1
n = 264, r = 1, dH = -1.07831, is_accept = 1
n = 265, r = 0.536275, dH = 0.623108, is_accept = 0
n = 266, r = 0.378804, dH = 0.970737, is_accept = 1
n = 267, r = 1, dH = -0.288685, is_accept = 1
n = 268, r = 0.524136, dH = 0.646004, is_accept = 1
n = 269, r = 1, dH = -0.464505, is_accept = 1
n = 270, r = 0.765555, dH = 0.267154, is_accept = 0
n = 271, r = 1, dH = -0.0315924, is_accept = 1
n = 272, r = 1, dH = -0.387991, is_accept = 1
n = 273, r = 0.962414, dH = 0.0383101, is_accept = 1
n = 274, r = 0.426339, dH = 0.852521, is_accept = 0
n = 275, r = 0.857717, dH = 0.153481, is_accept = 1
n = 276, r = 0.718373, dH = 0.330767, is_accept = 0
n = 277, r = 0.77181, dH = 0.259017, is_accept = 1
n = 278, r = 1, dH = -0.56584, is_accept = 1
n = 279, r = 0.676844, dH = 0.390314, is_accept = 1
n = 280, r = 0.763798, dH = 0.269451, is_accept = 0
n = 281, r = 0.784379, dH = 0.242864, is_accept = 0
n = 282, r = 0.939803, dH = 0.062085, is_accept = 1
n = 283, r = 1, dH = -0.29922, is_accept = 1
n = 284, r = 1, dH = -0.39609, is_accept = 1
n = 285, r = 1, dH = -0.583854, is_accept = 1
n = 286, r = 0.378232, dH = 0.972249, is_accept = 1
n = 287, r = 1, dH = -0.249365, is_accept = 1
n = 288, r = 1, dH = -0.864795, is_accept = 1
n = 289, r = 0.705954, dH = 0.348205, is_accept = 1
n = 290, r = 1, dH = -0.495271, is_accept = 1
n = 291, r = 0.564043, dH = 0.572625, is_accept = 0
n = 292, r = 1, dH = -0.128486, is_accept = 1
n = 293, r = 0.995713, dH = 0.00429603, is_accept = 0
n = 294, r = 1, dH = -0.458662, is_accept = 1
n = 295, r = 0.817757, dH = 0.20119, is_accept = 0
n = 296, r = 0.477159, dH = 0.739906, is_accept = 1
n = 297, r = 0.99701, dH = 0.0029946, is_accept = 1
n = 298, r = 0.76134, dH = 0.272675, is_accept = 1
n = 299, r = 1, dH = -0.235632, is_accept = 1
n = 300, r = 1, dH = -0.117338, is_accept = 1
n = 301, r = 0.807973, dH = 0.213226, is_accept = 1
n = 302, r = 0.936606, dH = 0.0654925, is_accept = 1
n = 303, r = 1, dH = -0.148077, is_accept = 1
n = 304, r = 1, dH = -0.42758, is_accept = 1
n = 305, r = 0.546745, dH = 0.603772, is_accept = 1
n = 306, r = 0.980739, dH = 0.0194492, is_accept = 1
n = 307, r = 1, dH = -0.693381, is_accept = 1
n = 308, r = 0.803413, dH = 0.218887, is_accept = 1
n = 309, r = 0.9976, dH = 0.00240307, is_accept = 1
n = 310, r = 0.31643, dH = 1.15065, is_accept = 1
n = 311, r = 0.798695, dH = 0.224776, is_accept = 1
n = 312, r = 1, dH = -0.40226, is_accept = 1
n = 313, r = 1, dH = -0.266098, is_accept = 1
n = 314, r = 1, dH = -0.0402829, is_accept = 1
n = 315, r = 0.585176, dH = 0.535842, is_accept = 0
n = 316, r = 0.476298, dH = 0.741712, is_accept = 0
n = 317, r = 0.813794, dH = 0.206048, is_accept = 1
n = 318, r = 1, dH = -0.477713, is_accept = 1
n = 319, r = 1, dH = -0.383527, is_accept = 1
n = 320, r = 0.430873, dH = 0.841942, is_accept = 0
n = 321, r = 0.470825, dH = 0.753269, is_accept = 0
n = 322, r = 0.710688, dH = 0.341522, is_accept = 1
n = 323, r = 1, dH = -0.226708, is_accept = 1
n = 324, r = 0.404174, dH = 0.90591, is_accept = 0
n = 325, r = 0.50746, dH = 0.678337, is_accept = 0
n = 326, r = 0.948981, dH = 0.0523661, is_accept = 1
n = 327, r = 0.936236, dH = 0.0658878, is_accept = 1
n = 328, r = 1, dH = -0.0562743, is_accept = 1
n = 329, r = 0.278624, dH = 1.27789, is_accept = 1
n = 330, r = 1, dH = -0.781413, is_accept = 1
n = 331, r = 0.823783, dH = 0.193848, is_accept = 1
n = 332, r = 1, dH = -0.201475, is_accept = 1
n = 333, r = 0.746795, dH = 0.291965, is_accept = 0
n = 334, r = 1, dH = -0.293703, is_accept = 1
n = 335, r = 1, dH = -0.0359024, is_accept = 1
n = 336, r = 1, dH = -0.0157451, is_accept = 1
n = 337, r = 1, dH = -0.193188, is_accept = 1
n = 338, r = 1, dH = -0.360664, is_accept = 1
n = 339, r = 0.621814, dH = 0.475114, is_accept = 0
n = 340, r = 0.753243, dH = 0.283368, is_accept = 1
n = 341, r = 0.689579, dH = 0.371674, is_accept = 0
n = 342, r = 1, dH = -0.322958, is_accept = 1
n = 343, r = 0.375285, dH = 0.980068, is_accept = 0
n = 344, r = 0.494887, dH = 0.703426, is_accept = 0
n = 345, r = 1, dH = -0.185708, is_accept = 1
n = 346, r = 0.85748, dH = 0.153757, is_accept = 1
n = 347, r = 1, dH = -0.0357174, is_accept = 1
n = 348, r = 0.856597, dH = 0.154788, is_accept = 1
n = 349, r = 0.918801, dH = 0.0846854, is_accept = 1
n = 350, r = 0.659558, dH = 0.416185, is_accept = 1
n = 351, r = 1, dH = -0.513517, is_accept = 1
n = 352, r = 0.854141, dH = 0.157659, is_accept = 1
n = 353, r = 1, dH = -0.712329, is_accept = 1
n = 354, r = 0.36262, dH = 1.0144, is_accept = 1
n = 355, r = 1, dH = -1.31311, is_accept = 1
n = 356, r = 1, dH = -0.0804372, is_accept = 1
n = 357, r = 1, dH = -0.301582, is_accept = 1
n = 358, r = 1, dH = -0.0414926, is_accept = 1
n = 359, r = 1, dH = -0.683781, is_accept = 1
n = 360, r = 0.401375, dH = 0.91286, is_accept = 1
n = 361, r = 1, dH = -0.569631, is_accept = 1
n = 362, r = 0.930394, dH = 0.0721475, is_accept = 1
n = 363, r = 0.576436, dH = 0.550891, is_accept = 1
n = 364, r = 1, dH = -0.904032, is_accept = 1
n = 365, r = 0.504472, dH = 0.684243, is_accept = 0
n = 366, r = 0.524645, dH = 0.645034, is_accept = 1
n = 367, r = 1, dH = -0.447832, is_accept = 1
n = 368, r = 0.53864, dH = 0.618708, is_accept = 0
n = 369, r = 0.629701, dH = 0.462511, is_accept = 1
n = 370, r = 0.641285, dH = 0.444281, is_accept = 0
n = 371, r = 1, dH = -0.467808, is_accept = 1
n = 372, r = 0.869231, dH = 0.140147, is_accept = 1
n = 373, r = 0.354815, dH = 1.03616, is_accept = 1
n = 374, r = 1, dH = -0.548258, is_accept = 1
n = 375, r = 1, dH = -0.0289326, is_accept = 1
n = 376, r = 0.944956, dH = 0.0566171, is_accept = 1
n = 377, r = 0.747523, dH = 0.29099, is_accept = 0
n = 378, r = 0.579964, dH = 0.544789, is_accept = 1
n = 379, r = 1, dH = -0.249204, is_accept = 1
n = 380, r = 1, dH = -0.645738, is_accept = 1
n = 381, r = 0.244735, dH = 1.40758, is_accept = 0
n = 382, r = 0.484007, dH = 0.725656, is_accept = 0
n = 383, r = 0.418496, dH = 0.871087, is_accept = 0
n = 384, r = 0.847535, dH = 0.165423, is_accept = 1
n = 385, r = 0.657212, dH = 0.419748, is_accept = 1
n = 386, r = 0.936425, dH = 0.0656861, is_accept = 1
n = 387, r = 0.413003, dH = 0.884301, is_accept = 1
n = 388, r = 1, dH = -0.540093, is_accept = 1
n = 389, r = 1, dH = -0.24879, is_accept = 1
n = 390, r = 0.935737, dH = 0.0664206, is_accept = 1
n = 391, r = 0.78789, dH = 0.238397, is_accept = 1
n = 392, r = 1, dH = -0.348014, is_accept = 1
n = 393, r = 1, dH = -0.279602, is_accept = 1
n = 394, r = 1, dH = -0.26407, is_accept = 1
n = 395, r = 0.37325, dH = 0.985508, is_accept = 0
n = 396, r = 0.91954, dH = 0.0838818, is_accept = 1
n = 397, r = 0.823397, dH = 0.194317, is_accept = 1
n = 398, r = 0.465029, dH = 0.765656, is_accept = 0
n = 399, r = 0.691506, dH = 0.368884, is_accept = 1
n = 400, r = 0.459838, dH = 0.776881, is_accept = 1
n = 401, r = 1, dH = -0.922564, is_accept = 1
n = 402, r = 1, dH = -0.379016, is_accept = 1
n = 403, r = 0.70174, dH = 0.354192, is_accept = 1
n = 404, r = 1, dH = -0.297639, is_accept = 1
n = 405, r = 1, dH = -0.0073253, is_accept = 1
n = 406, r = 0.555886, dH = 0.587193, is_accept = 1
n = 407, r = 1, dH = -0.434987, is_accept = 1
n = 408, r = 0.774027, dH = 0.256149, is_accept = 1
n = 409, r = 0.950644, dH = 0.0506158, is_accept = 1
n = 410, r = 1, dH = -1.34247, is_accept = 1
n = 411, r = 0.507965, dH = 0.677343, is_accept = 0
n = 412, r = 1, dH = -0.271821, is_accept = 1
n = 413, r = 0.879202, dH = 0.128741, is_accept = 1
n = 414, r = 1, dH = -0.290026, is_accept = 1
n = 415, r = 0.792936, dH = 0.232012, is_accept = 0
n = 416, r = 0.859578, dH = 0.151314, is_accept = 1
n = 417, r = 0.934769, dH = 0.0674557, is_accept = 1
n = 418, r = 1, dH = -0.596345, is_accept = 1
n = 419, r = 1, dH = -0.13926, is_accept = 1
n = 420, r = 0.729493, dH = 0.315405, is_accept = 0
n = 421, r = 0.510468, dH = 0.672427, is_accept = 0
n = 422, r = 0.743837, dH = 0.295933, is_accept = 1
n = 423, r = 1, dH = -0.00317732, is_accept = 1
n = 424, r = 0.509723, dH = 0.673888, is_accept = 1
n = 425, r = 1, dH = -0.444313, is_accept = 1
n = 426, r = 0.76535, dH = 0.267422, is_accept = 1
n = 427, r = 0.983084, dH = 0.0170605, is_accept = 1
n = 428, r = 1, dH = -0.125066, is_accept = 1
n = 429, r = 1, dH = -0.147029, is_accept = 1
n = 430, r = 1, dH = -0.256756, is_accept = 1
n = 431, r = 0.59526, dH = 0.518757, is_accept = 1
n = 432, r = 0.670693, dH = 0.399443, is_accept = 0
n = 433, r = 0.834051, dH = 0.18146, is_accept = 1
n = 434, r = 0.64971, dH = 0.431228, is_accept = 1
n = 435, r = 1, dH = -0.49958, is_accept = 1
n = 436, r = 1, dH = -0.0525663, is_accept = 1
n = 437, r = 0.958451, dH = 0.0424364, is_accept = 1
n = 438, r = 0.832631, dH = 0.183164, is_accept = 1
n = 439, r = 0.822802, dH = 0.195039, is_accept = 0
n = 440, r = 1, dH = -0.306098, is_accept = 1
n = 441, r = 1, dH = -0.129044, is_accept = 1
n = 442, r = 1, dH = -0.319888, is_accept = 1
n = 443, r = 1, dH = -0.272518, is_accept = 1
n = 444, r = 0.465534, dH = 0.764571, is_accept = 0
n = 445, r = 0.774414, dH = 0.255648, is_accept = 0
n = 446, r = 1, dH = -0.0388293, is_accept = 1
n = 447, r = 0.686615, dH = 0.375982, is_accept = 1
n = 448, r = 0.627301, dH = 0.466329, is_accept = 1
n = 449, r = 1, dH = -0.312206, is_accept = 1
n = 450, r = 1, dH = -0.210879, is_accept = 1
n = 451, r = 0.59836, dH = 0.513562, is_accept = 0
n = 452, r = 0.5348, dH = 0.625863, is_accept = 1
n = 453, r = 1, dH = -0.631289, is_accept = 1
n = 454, r = 1, dH = -0.0270534, is_accept = 1
n = 455, r = 0.684476, dH = 0.379102, is_accept = 1
n = 456, r = 1, dH = -0.144827, is_accept = 1
n = 457, r = 1, dH = -0.277906, is_accept = 1
n = 458, r = 0.552672, dH = 0.59299, is_accept = 0
n = 459, r = 0.900847, dH = 0.10442, is_accept = 1
n = 460, r = 0.70486, dH = 0.349756, is_accept = 1
n = 461, r = 1, dH = -0.323343, is_accept = 1
n = 462, r = 1, dH = -0.320981, is_accept = 1
n = 463, r = 1, dH = -0.38949, is_accept = 1
n = 464, r = 0.930241, dH = 0.072312, is_accept = 1
n = 465, r = 0.961194, dH = 0.0395788, is_accept = 1
n = 466, r = 0.840931, dH = 0.173246, is_accept = 1
n = 467, r = 1, dH = -0.440901, is_accept = 1
n = 468, r = 1, dH = -0.114485, is_accept = 1
n = 469, r = 0.935578, dH = 0.0665906, is_accept = 1
n = 470, r = 0.582881, dH = 0.539772, is_accept = 0
n = 471, r = 0.983866, dH = 0.0162655, is_accept = 1
n = 472, r = 0.829614, dH = 0.186795, is_accept = 1
n = 473, r = 0.566229, dH = 0.568757, is_accept = 0
n = 474, r = 0.573054, dH = 0.556775, is_accept = 1
n = 475, r = 1, dH = -0.526548, is_accept = 1
n = 476, r = 0.608614, dH = 0.496571, is_accept = 1
n = 477, r = 1, dH = -0.547163, is_accept = 1
n = 478, r = 0.534431, dH = 0.626552, is_accept = 0
n = 479, r = 1, dH = -0.190127, is_accept = 1
