openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 24131
exact = 6.882880141375221e-01
n = 0, r = 1.98049e-07, dH = 15.4348, is_accept = 1
n = 1, r = 0.0414058, dH = 3.18433, is_accept = 1
n = 2, r = 0.783745, dH = 0.243672, is_accept = 1
n = 3, r = 0.549025, dH = 0.599611, is_accept = 1
n = 4, r = 0.76212, dH = 0.271651, is_accept = 1
n = 5, r = 0.874747, dH = 0.13382, is_accept = 1
n = 6, r = 1, dH = -0.0874226, is_accept = 1
n = 7, r = 1, dH = -0.0755055, is_accept = 1
n = 8, r = 1, dH = -0.0209772, is_accept = 1
n = 9, r = 1, dH = -0.160419, is_accept = 1
n = 10, r = 0.823444, dH = 0.19426, is_accept = 1
n = 11, r = 1, dH = -0.0939984, is_accept = 1
n = 12, r = 0.672309, dH = 0.397038, is_accept = 1
n = 13, r = 1, dH = -0.633823, is_accept = 1
n = 14, r = 0.431169, dH = 0.841255, is_accept = 1
n = 15, r = 1, dH = -0.241355, is_accept = 1
n = 16, r = 0.534552, dH = 0.626325, is_accept = 1
n = 17, r = 1, dH = -0.243998, is_accept = 1
n = 18, r = 0.734613, dH = 0.308411, is_accept = 1
n = 19, r = 0.706536, dH = 0.347381, is_accept = 1
n = 20, r = 1, dH = -0.432018, is_accept = 1
n = 21, r = 0.713788, dH = 0.337169, is_accept = 1
n = 22, r = 1, dH = -0.22969, is_accept = 1
n = 23, r = 1, dH = -0.411879, is_accept = 1
n = 24, r = 0.852553, dH = 0.15952, is_accept = 1
n = 25, r = 0.615979, dH = 0.484543, is_accept = 1
n = 26, r = 0.837258, dH = 0.177623, is_accept = 1
n = 27, r = 1, dH = -0.553524, is_accept = 1
n = 28, r = 0.899042, dH = 0.106426, is_accept = 1
n = 29, r = 0.90669, dH = 0.0979546, is_accept = 1
n = 30, r = 0.792791, dH = 0.232196, is_accept = 0
n = 31, r = 1, dH = -0.00520915, is_accept = 1
n = 32, r = 1, dH = -0.247204, is_accept = 1
n = 33, r = 0.427155, dH = 0.850609, is_accept = 0
n = 34, r = 0.454356, dH = 0.788875, is_accept = 1
n = 35, r = 1, dH = -0.713293, is_accept = 1
n = 36, r = 0.894694, dH = 0.111273, is_accept = 1
n = 37, r = 1, dH = -0.176854, is_accept = 1
n = 38, r = 1, dH = -0.0162298, is_accept = 1
n = 39, r = 0.81377, dH = 0.206077, is_accept = 1
n = 40, r = 0.556115, dH = 0.58678, is_accept = 0
n = 41, r = 0.803146, dH = 0.219219, is_accept = 1
n = 42, r = 1, dH = -0.313458, is_accept = 1
n = 43, r = 0.831166, dH = 0.184925, is_accept = 1
n = 44, r = 1, dH = -0.351712, is_accept = 1
n = 45, r = 0.622156, dH = 0.474564, is_accept = 0
n = 46, r = 0.546957, dH = 0.603386, is_accept = 0
n = 47, r = 0.542859, dH = 0.610907, is_accept = 1
n = 48, r = 1, dH = -0.513683, is_accept = 1
n = 49, r = 0.66201, dH = 0.412475, is_accept = 0
n = 50, r = 1, dH = -0.0222846, is_accept = 1
n = 51, r = 0.745741, dH = 0.293376, is_accept = 1
n = 52, r = 1, dH = -0.0777548, is_accept = 1
n = 53, r = 1, dH = -0.0669109, is_accept = 1
n = 54, r = 0.97398, dH = 0.0263648, is_accept = 1
n = 55, r = 1, dH = -0.325963, is_accept = 1
n = 56, r = 0.909392, dH = 0.0949794, is_accept = 1
n = 57, r = 0.632792, dH = 0.457613, is_accept = 1
n = 58, r = 1, dH = -0.16398, is_accept = 1
n = 59, r = 0.520963, dH = 0.652076, is_accept = 0
n = 60, r = 0.975723, dH = 0.0245763, is_accept = 1
n = 61, r = 1, dH = -0.235744, is_accept = 1
n = 62, r = 0.773264, dH = 0.257135, is_accept = 1
n = 63, r = 0.628355, dH = 0.46465, is_accept = 0
n = 64, r = 1, dH = -0.227569, is_accept = 1
n = 65, r = 1, dH = -0.304563, is_accept = 1
n = 66, r = 0.667075, dH = 0.404852, is_accept = 1
n = 67, r = 1, dH = -0.112788, is_accept = 1
n = 68, r = 0.576112, dH = 0.551453, is_accept = 0
n = 69, r = 0.569567, dH = 0.562878, is_accept = 0
n = 70, r = 0.873902, dH = 0.134787, is_accept = 1
n = 71, r = 0.761196, dH = 0.272865, is_accept = 1
n = 72, r = 1, dH = -0.469235, is_accept = 1
n = 73, r = 0.658581, dH = 0.417668, is_accept = 1
n = 74, r = 1, dH = -0.440712, is_accept = 1
n = 75, r = 0.692343, dH = 0.367674, is_accept = 1
n = 76, r = 0.563967, dH = 0.572759, is_accept = 0
n = 77, r = 0.901557, dH = 0.103632, is_accept = 1
n = 78, r = 1, dH = -0.0766087, is_accept = 1
n = 79, r = 0.709113, dH = 0.34374, is_accept = 1
n = 80, r = 1, dH = -0.372015, is_accept = 1
n = 81, r = 0.856036, dH = 0.155443, is_accept = 1
n = 82, r = 1, dH = -0.0134569, is_accept = 1
n = 83, r = 0.797327, dH = 0.22649, is_accept = 1
n = 84, r = 1, dH = -0.27617, is_accept = 1
n = 85, r = 0.544576, dH = 0.607749, is_accept = 0
n = 86, r = 0.803307, dH = 0.219019, is_accept = 1
n = 87, r = 0.619639, dH = 0.478618, is_accept = 1
n = 88, r = 1, dH = -0.299588, is_accept = 1
n = 89, r = 0.962607, dH = 0.0381096, is_accept = 1
n = 90, r = 0.869803, dH = 0.139489, is_accept = 1
n = 91, r = 1, dH = -0.220917, is_accept = 1
n = 92, r = 1, dH = -0.0587534, is_accept = 1
n = 93, r = 0.442716, dH = 0.814827, is_accept = 0
n = 94, r = 0.94593, dH = 0.0555871, is_accept = 1
n = 95, r = 0.95891, dH = 0.0419583, is_accept = 1
n = 96, r = 0.432781, dH = 0.837524, is_accept = 0
n = 97, r = 0.563947, dH = 0.572795, is_accept = 1
n = 98, r = 0.719536, dH = 0.329148, is_accept = 0
n = 99, r = 0.566014, dH = 0.569136, is_accept = 1
n = 100, r = 1, dH = -0.674512, is_accept = 1
n = 101, r = 0.4266, dH = 0.851907, is_accept = 0
n = 102, r = 0.558944, dH = 0.581706, is_accept = 1
n = 103, r = 1, dH = -0.418558, is_accept = 1
n = 104, r = 1, dH = -0.226148, is_accept = 1
n = 105, r = 1, dH = -0.180882, is_accept = 1
n = 106, r = 1, dH = -0.420123, is_accept = 1
n = 107, r = 0.668166, dH = 0.403219, is_accept = 1
n = 108, r = 0.730812, dH = 0.313599, is_accept = 0
n = 109, r = 1, dH = -0.136879, is_accept = 1
n = 110, r = 0.558615, dH = 0.582295, is_accept = 0
n = 111, r = 0.820818, dH = 0.197454, is_accept = 1
n = 112, r = 1, dH = -0.464535, is_accept = 1
n = 113, r = 0.530578, dH = 0.633789, is_accept = 1
n = 114, r = 0.656048, dH = 0.421522, is_accept = 1
n = 115, r = 0.467625, dH = 0.760089, is_accept = 1
n = 116, r = 1, dH = -0.58023, is_accept = 1
n = 117, r = 1, dH = -0.0354509, is_accept = 1
n = 118, r = 0.879231, dH = 0.128708, is_accept = 1
n = 119, r = 1, dH = -0.22902, is_accept = 1
n = 120, r = 1, dH = -0.312797, is_accept = 1
n = 121, r = 0.735248, dH = 0.307548, is_accept = 1
n = 122, r = 0.897143, dH = 0.10854, is_accept = 1
n = 123, r = 1, dH = -0.564118, is_accept = 1
n = 124, r = 1, dH = -0.638609, is_accept = 1
n = 125, r = 0.513249, dH = 0.666994, is_accept = 0
n = 126, r = 1, dH = -0.0508275, is_accept = 1
n = 127, r = 0.585063, dH = 0.536035, is_accept = 1
n = 128, r = 0.660531, dH = 0.414711, is_accept = 0
n = 129, r = 0.701829, dH = 0.354066, is_accept = 1
n = 130, r = 1, dH = -0.319896, is_accept = 1
n = 131, r = 0.72272, dH = 0.324734, is_accept = 0
n = 132, r = 0.579828, dH = 0.545024, is_accept = 1
n = 133, r = 1, dH = -0.300149, is_accept = 1
n = 134, r = 1, dH = -0.298244, is_accept = 1
n = 135, r = 0.819214, dH = 0.19941, is_accept = 1
n = 136, r = 0.858841, dH = 0.152171, is_accept = 0
n = 137, r = 0.870096, dH = 0.139152, is_accept = 1
n = 138, r = 0.585728, dH = 0.5349, is_accept = 1
n = 139, r = 1, dH = -0.126894, is_accept = 1
n = 140, r = 1, dH = -0.266613, is_accept = 1
n = 141, r = 0.686595, dH = 0.376011, is_accept = 1
n = 142, r = 0.955543, dH = 0.0454754, is_accept = 1
n = 143, r = 0.974319, dH = 0.026017, is_accept = 1
n = 144, r = 0.84631, dH = 0.16687, is_accept = 1
n = 145, r = 1, dH = -0.656836, is_accept = 1
n = 146, r = 1, dH = -0.391161, is_accept = 1
n = 147, r = 1, dH = -0.163545, is_accept = 1
n = 148, r = 1, dH = -0.0906602, is_accept = 1
n = 149, r = 0.393807, dH = 0.931895, is_accept = 0
n = 150, r = 0.512544, dH = 0.668368, is_accept = 0
n = 151, r = 0.345344, dH = 1.06322, is_accept = 0
n = 152, r = 0.6228, dH = 0.473529, is_accept = 1
n = 153, r = 0.752434, dH = 0.284442, is_accept = 1
n = 154, r = 0.822087, dH = 0.195909, is_accept = 1
n = 155, r = 1, dH = -0.036932, is_accept = 1
n = 156, r = 1, dH = -0.215573, is_accept = 1
n = 157, r = 1, dH = -0.257208, is_accept = 1
n = 158, r = 1, dH = -0.198148, is_accept = 1
n = 159, r = 1, dH = -0.829584, is_accept = 1
n = 160, r = 0.864427, dH = 0.145688, is_accept = 0
n = 161, r = 0.458401, dH = 0.780012, is_accept = 0
n = 162, r = 0.467228, dH = 0.760937, is_accept = 0
n = 163, r = 1, dH = -0.321633, is_accept = 1
n = 164, r = 0.279484, dH = 1.27481, is_accept = 0
n = 165, r = 0.683369, dH = 0.380721, is_accept = 0
n = 166, r = 0.692167, dH = 0.367928, is_accept = 0
n = 167, r = 0.521724, dH = 0.650616, is_accept = 0
n = 168, r = 0.302437, dH = 1.19588, is_accept = 0
n = 169, r = 0.53685, dH = 0.622037, is_accept = 0
n = 170, r = 0.502584, dH = 0.687993, is_accept = 1
n = 171, r = 1, dH = -0.12945, is_accept = 1
n = 172, r = 0.765984, dH = 0.266595, is_accept = 0
n = 173, r = 1, dH = -0.105597, is_accept = 1
n = 174, r = 1, dH = -0.0382903, is_accept = 1
n = 175, r = 0.777726, dH = 0.251381, is_accept = 1
n = 176, r = 1, dH = -0.400492, is_accept = 1
n = 177, r = 0.844185, dH = 0.169384, is_accept = 1
n = 178, r = 1, dH = -0.170516, is_accept = 1
n = 179, r = 1, dH = -0.281477, is_accept = 1
n = 180, r = 1, dH = -0.41735, is_accept = 1
n = 181, r = 0.928616, dH = 0.0740605, is_accept = 1
n = 182, r = 1, dH = -0.279062, is_accept = 1
n = 183, r = 0.644985, dH = 0.438528, is_accept = 0
n = 184, r = 0.648327, dH = 0.433361, is_accept = 1
n = 185, r = 1, dH = -0.198312, is_accept = 1
n = 186, r = 0.302064, dH = 1.19712, is_accept = 1
n = 187, r = 1, dH = -0.350173, is_accept = 1
n = 188, r = 0.577653, dH = 0.548782, is_accept = 0
n = 189, r = 1, dH = -0.397649, is_accept = 1
n = 190, r = 0.39761, dH = 0.922284, is_accept = 1
n = 191, r = 1, dH = -0.249221, is_accept = 1
n = 192, r = 1, dH = -0.387261, is_accept = 1
n = 193, r = 0.647266, dH = 0.434998, is_accept = 1
n = 194, r = 1, dH = -0.151352, is_accept = 1
n = 195, r = 1, dH = -0.00903702, is_accept = 1
n = 196, r = 1, dH = -0.0528229, is_accept = 1
n = 197, r = 0.590571, dH = 0.526666, is_accept = 1
n = 198, r = 0.730041, dH = 0.314655, is_accept = 0
n = 199, r = 1, dH = -0.410733, is_accept = 1
n = 200, r = 1, dH = -0.323857, is_accept = 1
n = 201, r = 1, dH = -0.0235356, is_accept = 1
n = 202, r = 1, dH = -0.404604, is_accept = 1
n = 203, r = 0.760166, dH = 0.274219, is_accept = 0
n = 204, r = 1, dH = -0.264018, is_accept = 1
n = 205, r = 0.762803, dH = 0.270756, is_accept = 1
n = 206, r = 1, dH = -0.256705, is_accept = 1
n = 207, r = 0.921646, dH = 0.081594, is_accept = 1
n = 208, r = 0.738732, dH = 0.30282, is_accept = 1
n = 209, r = 1, dH = -0.640581, is_accept = 1
n = 210, r = 0.839897, dH = 0.174476, is_accept = 1
n = 211, r = 0.779079, dH = 0.249642, is_accept = 1
n = 212, r = 1, dH = -0.330003, is_accept = 1
n = 213, r = 0.532712, dH = 0.629775, is_accept = 1
n = 214, r = 1, dH = -0.565793, is_accept = 1
n = 215, r = 0.45527, dH = 0.786865, is_accept = 1
n = 216, r = 0.946361, dH = 0.0551316, is_accept = 1
n = 217, r = 1, dH = -0.167917, is_accept = 1
n = 218, r = 1, dH = -0.615678, is_accept = 1
n = 219, r = 0.584623, dH = 0.536788, is_accept = 1
n = 220, r = 0.998662, dH = 0.00133878, is_accept = 1
n = 221, r = 0.526817, dH = 0.640902, is_accept = 1
n = 222, r = 0.818178, dH = 0.200675, is_accept = 1
n = 223, r = 0.988238, dH = 0.0118316, is_accept = 1
n = 224, r = 1, dH = -0.0642636, is_accept = 1
n = 225, r = 1, dH = -0.581469, is_accept = 1
