openmp threads = 1
eigen threads = 1
seed = 3884
exact = 1.207312649448862e+00
n = 0, r = 1, dH = -6.06566, is_accept = 1
n = 1, r = 0.353744, dH = 1.03918, is_accept = 1
n = 2, r = 0.235175, dH = 1.44742, is_accept = 1
n = 3, r = 0.361824, dH = 1.0166, is_accept = 1
n = 4, r = 0.554474, dH = 0.589736, is_accept = 1
n = 5, r = 0.629984, dH = 0.462061, is_accept = 1
n = 6, r = 0.705334, dH = 0.349084, is_accept = 1
n = 7, r = 0.924042, dH = 0.0789973, is_accept = 1
n = 8, r = 0.789262, dH = 0.236658, is_accept = 1
n = 9, r = 0.736358, dH = 0.306038, is_accept = 1
n = 10, r = 0.432125, dH = 0.839041, is_accept = 1
n = 11, r = 0.88447, dH = 0.122767, is_accept = 1
n = 12, r = 0.727558, dH = 0.318062, is_accept = 1
n = 13, r = 1, dH = -0.292592, is_accept = 1
n = 14, r = 0.717325, dH = 0.332227, is_accept = 1
n = 15, r = 0.869365, dH = 0.139992, is_accept = 1
n = 16, r = 0.991358, dH = 0.00867946, is_accept = 1
n = 17, r = 4.94221e-07, dH = 14.5203, is_accept = 1
n = 18, r = 1, dH = -0.196827, is_accept = 1
n = 19, r = 0.849333, dH = 0.163304, is_accept = 1
n = 20, r = 0.713234, dH = 0.337946, is_accept = 1
n = 21, r = 1, dH = -0.512671, is_accept = 1
n = 22, r = 1, dH = -0.152396, is_accept = 1
n = 23, r = 0.452681, dH = 0.792568, is_accept = 0
n = 24, r = 1, dH = -0.411695, is_accept = 1
n = 25, r = 0.846853, dH = 0.166228, is_accept = 1
n = 26, r = 0.871512, dH = 0.137525, is_accept = 1
n = 27, r = 1, dH = -0.396436, is_accept = 1
n = 28, r = 0.0964154, dH = 2.33909, is_accept = 0
n = 29, r = 0.00957572, dH = 4.64852, is_accept = 0
n = 30, r = 0.767064, dH = 0.265185, is_accept = 1
n = 31, r = 1, dH = -0.120663, is_accept = 1
n = 32, r = 0.766725, dH = 0.265628, is_accept = 1
n = 33, r = 0.940314, dH = 0.0615415, is_accept = 1
n = 34, r = 0.600155, dH = 0.510567, is_accept = 1
n = 35, r = 0.784124, dH = 0.243188, is_accept = 1
n = 36, r = 1, dH = -0.353534, is_accept = 1
n = 37, r = 1, dH = -0.0108084, is_accept = 1
n = 38, r = 1, dH = -0.0581039, is_accept = 1
n = 39, r = 0.611832, dH = 0.491297, is_accept = 1
n = 40, r = 0.352978, dH = 1.04135, is_accept = 1
n = 41, r = 1, dH = -0.333887, is_accept = 1
n = 42, r = 1, dH = -0.0558043, is_accept = 1
n = 43, r = 0.14736, dH = 1.91487, is_accept = 1
n = 44, r = 1, dH = -0.0043133, is_accept = 1
n = 45, r = 1, dH = -0.216608, is_accept = 1
n = 46, r = 0.656926, dH = 0.420184, is_accept = 1
n = 47, r = 1, dH = -0.0886985, is_accept = 1
n = 48, r = 0.803481, dH = 0.218802, is_accept = 1
n = 49, r = 1, dH = -0.207373, is_accept = 1
n = 50, r = 1, dH = -0.164825, is_accept = 1
n = 51, r = 1, dH = -0.184255, is_accept = 1
n = 52, r = 1, dH = -0.244505, is_accept = 1
n = 53, r = 0.899986, dH = 0.105376, is_accept = 1
n = 54, r = 1, dH = -0.990527, is_accept = 1
n = 55, r = 1, dH = -0.125734, is_accept = 1
n = 56, r = 0.0205209, dH = 3.88631, is_accept = 0
n = 57, r = 1, dH = -0.185519, is_accept = 1
n = 58, r = 0.942905, dH = 0.0587898, is_accept = 1
n = 59, r = 1, dH = -1.06583, is_accept = 1
n = 60, r = 0.993093, dH = 0.00693103, is_accept = 1
n = 61, r = 0.639251, dH = 0.447457, is_accept = 1
n = 62, r = 0.296029, dH = 1.2173, is_accept = 0
n = 63, r = 0.819884, dH = 0.198592, is_accept = 1
n = 64, r = 0.690222, dH = 0.370743, is_accept = 0
n = 65, r = 1, dH = -0.227444, is_accept = 1
n = 66, r = 0.825007, dH = 0.192363, is_accept = 0
n = 67, r = 0.902918, dH = 0.102123, is_accept = 1
n = 68, r = 1, dH = -0.257936, is_accept = 1
n = 69, r = 1, dH = -0.274809, is_accept = 1
n = 70, r = 0.767336, dH = 0.264831, is_accept = 1
n = 71, r = 1, dH = -0.596849, is_accept = 1
n = 72, r = 1, dH = -0.116747, is_accept = 1
n = 73, r = 1, dH = -0.35079, is_accept = 1
n = 74, r = 1, dH = -0.763616, is_accept = 1
n = 75, r = 0.867263, dH = 0.142413, is_accept = 1
n = 76, r = 0.197603, dH = 1.6215, is_accept = 0
n = 77, r = 1, dH = -0.0631584, is_accept = 1
n = 78, r = 0.913234, dH = 0.0907635, is_accept = 1
n = 79, r = 0.94875, dH = 0.0526098, is_accept = 1
n = 80, r = 0.373581, dH = 0.98462, is_accept = 0
n = 81, r = 0.917597, dH = 0.085997, is_accept = 1
n = 82, r = 0.401171, dH = 0.913367, is_accept = 1
n = 83, r = 0.745227, dH = 0.294067, is_accept = 1
n = 84, r = 1, dH = -0.102828, is_accept = 1
n = 85, r = 1, dH = -0.267895, is_accept = 1
n = 86, r = 1, dH = -0.101844, is_accept = 1
n = 87, r = 1, dH = -0.116204, is_accept = 1
n = 88, r = 0.583616, dH = 0.538511, is_accept = 1
n = 89, r = 1, dH = -0.393989, is_accept = 1
n = 90, r = 1, dH = -0.0676807, is_accept = 1
n = 91, r = 1, dH = -0.0356279, is_accept = 1
n = 92, r = 0.666178, dH = 0.406199, is_accept = 1
n = 93, r = 1, dH = -0.072225, is_accept = 1
n = 94, r = 0.951356, dH = 0.0498666, is_accept = 1
n = 95, r = 1.06009e-08, dH = 18.3623, is_accept = 0
n = 96, r = 1, dH = -0.378544, is_accept = 1
n = 97, r = 1, dH = -0.219601, is_accept = 1
n = 98, r = 0.767551, dH = 0.264551, is_accept = 1
n = 99, r = 1, dH = -0.0420022, is_accept = 1
n = 100, r = 0.420823, dH = 0.865542, is_accept = 0
n = 101, r = 0.983449, dH = 0.0166894, is_accept = 1
n = 102, r = 1, dH = -0.0532673, is_accept = 1
n = 103, r = 0.309592, dH = 1.1725, is_accept = 0
n = 104, r = 1, dH = -0.0200606, is_accept = 1
n = 105, r = 0.883627, dH = 0.123721, is_accept = 1
n = 106, r = 0.383315, dH = 0.958898, is_accept = 0
n = 107, r = 1, dH = -0.222328, is_accept = 1
n = 108, r = 0.0215537, dH = 3.83721, is_accept = 0
n = 109, r = 1, dH = -0.160057, is_accept = 1
n = 110, r = 0.809189, dH = 0.211722, is_accept = 0
n = 111, r = 0.846229, dH = 0.166966, is_accept = 1
n = 112, r = 1, dH = -0.365232, is_accept = 1
n = 113, r = 1, dH = -0.137054, is_accept = 1
n = 114, r = 1, dH = -0.102822, is_accept = 1
n = 115, r = 0.858068, dH = 0.153072, is_accept = 0
n = 116, r = 0.686467, dH = 0.376197, is_accept = 0
n = 117, r = 1, dH = -0.327634, is_accept = 1
n = 118, r = 1, dH = -0.161683, is_accept = 1
n = 119, r = 0.825398, dH = 0.19189, is_accept = 1
n = 120, r = 1, dH = -0.212095, is_accept = 1
n = 121, r = 0.728623, dH = 0.316598, is_accept = 0
n = 122, r = 1, dH = -1.33529, is_accept = 1
n = 123, r = 0.982533, dH = 0.0176211, is_accept = 1
n = 124, r = 0.647023, dH = 0.435374, is_accept = 1
n = 125, r = 1, dH = -0.225524, is_accept = 1
n = 126, r = 0.371041, dH = 0.991444, is_accept = 0
n = 127, r = 0.133755, dH = 2.01175, is_accept = 0
n = 128, r = 0.226927, dH = 1.48313, is_accept = 0
n = 129, r = 1, dH = -0.493963, is_accept = 1
n = 130, r = 1, dH = -0.0596043, is_accept = 1
n = 131, r = 1, dH = -0.141531, is_accept = 1
n = 132, r = 1, dH = -0.230705, is_accept = 1
n = 133, r = 1, dH = -0.129642, is_accept = 1
n = 134, r = 0.999102, dH = 0.000898495, is_accept = 1
n = 135, r = 0.787107, dH = 0.239391, is_accept = 0
n = 136, r = 1, dH = -0.12831, is_accept = 1
n = 137, r = 0.884824, dH = 0.122366, is_accept = 1
n = 138, r = 1, dH = -0.0866969, is_accept = 1
n = 139, r = 0.917952, dH = 0.0856101, is_accept = 1
n = 140, r = 0.417844, dH = 0.872647, is_accept = 1
n = 141, r = 0.765644, dH = 0.267038, is_accept = 1
n = 142, r = 1, dH = -0.493563, is_accept = 1
n = 143, r = 0.272704, dH = 1.29937, is_accept = 0
n = 144, r = 0.940633, dH = 0.0612026, is_accept = 1
n = 145, r = 1, dH = -0.259312, is_accept = 1
n = 146, r = 0.99836, dH = 0.00164121, is_accept = 1
