openmp threads = 1
eigen threads = 1
seed = 8989
exact = 5.879092030739460e-01
n = 108, r = 1, dH = -0.264018, is_accept = 1
n = 109, r = 1, dH = -0.017613, is_accept = 1
n = 110, r = 1, dH = -0.201996, is_accept = 1
n = 111, r = 0.990497, dH = 0.00954879, is_accept = 1
n = 112, r = 1, dH = -0.460864, is_accept = 1
n = 113, r = 0.268855, dH = 1.31358, is_accept = 0
n = 114, r = 0.665883, dH = 0.406641, is_accept = 1
n = 115, r = 0.299936, dH = 1.20419, is_accept = 0
n = 116, r = 1, dH = -0.134438, is_accept = 1
n = 117, r = 1, dH = -0.0345825, is_accept = 1
n = 118, r = 0.911377, dH = 0.0927988, is_accept = 1
n = 119, r = 5.17567e-05, dH = 9.86896, is_accept = 0
n = 120, r = 1, dH = -0.0802184, is_accept = 1
n = 121, r = 1, dH = -0.0992875, is_accept = 1
n = 122, r = 0.97813, dH = 0.0221128, is_accept = 1
n = 123, r = 1.72728e-06, dH = 13.269, is_accept = 0
n = 124, r = 0.530746, dH = 0.633471, is_accept = 1
n = 125, r = 1, dH = -0.63167, is_accept = 1
n = 126, r = 1, dH = -0.0925924, is_accept = 1
n = 127, r = 0.904009, dH = 0.100916, is_accept = 1
n = 128, r = 0.541974, dH = 0.612537, is_accept = 1
n = 129, r = 0.900794, dH = 0.104479, is_accept = 1
n = 130, r = 1, dH = -0.422475, is_accept = 1
n = 131, r = 0.763908, dH = 0.269308, is_accept = 1
n = 132, r = 0.88893, dH = 0.117736, is_accept = 1
n = 133, r = 0.775722, dH = 0.253962, is_accept = 1
n = 134, r = 0.900313, dH = 0.105013, is_accept = 1
n = 135, r = 0.311196, dH = 1.16733, is_accept = 1
n = 136, r = 1, dH = -0.0177199, is_accept = 1
n = 137, r = 0.284632, dH = 1.25656, is_accept = 0
n = 138, r = 1, dH = -0.115331, is_accept = 1
n = 139, r = 0.875868, dH = 0.13254, is_accept = 1
n = 140, r = 0.0839774, dH = 2.47721, is_accept = 0
n = 141, r = 1, dH = -0.0271547, is_accept = 1
n = 142, r = 0.929904, dH = 0.0726737, is_accept = 1
n = 143, r = 1, dH = -0.371626, is_accept = 1
n = 144, r = 0.981169, dH = 0.0190107, is_accept = 1
n = 145, r = 1, dH = -0.0825352, is_accept = 1
n = 146, r = 0.783595, dH = 0.243863, is_accept = 1
n = 147, r = 1, dH = -0.447645, is_accept = 1
n = 148, r = 0.7509, dH = 0.286483, is_accept = 1
n = 149, r = 1, dH = -0.00962695, is_accept = 1
n = 150, r = 0.130479, dH = 2.03654, is_accept = 0
n = 151, r = 1, dH = -0.114681, is_accept = 1
n = 152, r = 1, dH = -0.0583194, is_accept = 1
n = 153, r = 1, dH = -0.200819, is_accept = 1
n = 154, r = 0.896458, dH = 0.109303, is_accept = 1
n = 155, r = 1, dH = -0.188423, is_accept = 1
n = 156, r = 1, dH = -0.382046, is_accept = 1
n = 157, r = 0.778755, dH = 0.250059, is_accept = 0
n = 158, r = 0.948603, dH = 0.0527644, is_accept = 1
n = 159, r = 0.872232, dH = 0.1367, is_accept = 0
n = 160, r = 1, dH = -0.443222, is_accept = 1
n = 161, r = 0.813479, dH = 0.206435, is_accept = 1
n = 162, r = 0.799034, dH = 0.224351, is_accept = 1
n = 163, r = 0.878096, dH = 0.13, is_accept = 1
n = 164, r = 0.61836, dH = 0.480684, is_accept = 1
n = 165, r = 0.95876, dH = 0.0421141, is_accept = 1
n = 166, r = 0.64181, dH = 0.443463, is_accept = 1
n = 167, r = 1, dH = -0.292045, is_accept = 1
n = 168, r = 0.54429, dH = 0.608274, is_accept = 1
n = 169, r = 0.721796, dH = 0.326012, is_accept = 1
n = 170, r = 1, dH = -0.37159, is_accept = 1
n = 171, r = 0.888816, dH = 0.117865, is_accept = 1
n = 172, r = 1, dH = -0.0809368, is_accept = 1
n = 173, r = 0.00031943, dH = 8.04897, is_accept = 0
n = 174, r = 0.666433, dH = 0.405815, is_accept = 1
n = 175, r = 1, dH = -0.223336, is_accept = 1
n = 176, r = 0.640991, dH = 0.44474, is_accept = 1
n = 177, r = 1, dH = -0.0993003, is_accept = 1
n = 178, r = 0.935977, dH = 0.0661645, is_accept = 1
n = 179, r = 0.892334, dH = 0.113915, is_accept = 1
n = 180, r = 0.516306, dH = 0.661056, is_accept = 0
n = 181, r = 0.804911, dH = 0.217024, is_accept = 1
n = 182, r = 1, dH = -0.353987, is_accept = 1
n = 183, r = 0.699804, dH = 0.356955, is_accept = 1
n = 184, r = 1, dH = -0.124518, is_accept = 1
n = 185, r = 0.830679, dH = 0.185512, is_accept = 1
n = 186, r = 0.725507, dH = 0.320884, is_accept = 1
n = 187, r = 0.521726, dH = 0.650612, is_accept = 0
n = 188, r = 0.143776, dH = 1.9395, is_accept = 0
n = 189, r = 1, dH = -0.400201, is_accept = 1
n = 190, r = 0.541574, dH = 0.613275, is_accept = 1
n = 191, r = 1, dH = -0.381666, is_accept = 1
n = 192, r = 0.294378, dH = 1.22289, is_accept = 0
n = 193, r = 0.755885, dH = 0.279866, is_accept = 1
n = 194, r = 1, dH = -0.220745, is_accept = 1
n = 195, r = 0.771084, dH = 0.259958, is_accept = 1
n = 196, r = 0.424931, dH = 0.855829, is_accept = 0
n = 197, r = 1, dH = -0.241801, is_accept = 1
n = 198, r = 1, dH = -0.141427, is_accept = 1
n = 199, r = 0.840374, dH = 0.173909, is_accept = 1
n = 200, r = 0.969059, dH = 0.0314303, is_accept = 1
n = 201, r = 0.8348, dH = 0.180563, is_accept = 0
n = 202, r = 0.890669, dH = 0.115782, is_accept = 1
n = 203, r = 1, dH = -0.0117459, is_accept = 1
n = 204, r = 0.696036, dH = 0.362353, is_accept = 1
n = 205, r = 0.955484, dH = 0.0455371, is_accept = 1
n = 206, r = 0.953597, dH = 0.0475144, is_accept = 1
n = 207, r = 0.981057, dH = 0.0191247, is_accept = 1
n = 208, r = 0.884689, dH = 0.122519, is_accept = 1
n = 209, r = 1, dH = -0.0323971, is_accept = 1
n = 210, r = 1, dH = -0.0712241, is_accept = 1
n = 211, r = 1, dH = -0.0279266, is_accept = 1
n = 212, r = 1, dH = -0.0544759, is_accept = 1
n = 213, r = 0.908429, dH = 0.0960389, is_accept = 1
n = 214, r = 0.997881, dH = 0.00212147, is_accept = 1
n = 215, r = 0.250216, dH = 1.38543, is_accept = 1
n = 216, r = 0.775773, dH = 0.253895, is_accept = 1
n = 217, r = 1, dH = -0.0346807, is_accept = 1
n = 218, r = 2.58912e-07, dH = 15.1668, is_accept = 0
n = 219, r = 0.762972, dH = 0.270534, is_accept = 1
n = 220, r = 1, dH = -0.146359, is_accept = 1
n = 221, r = 0.848309, dH = 0.16451, is_accept = 1
n = 222, r = 1, dH = -0.358961, is_accept = 1
n = 223, r = 0.955791, dH = 0.0452165, is_accept = 1
n = 224, r = 1, dH = -0.065151, is_accept = 1
n = 225, r = 1, dH = -0.297552, is_accept = 1
n = 226, r = 0.954433, dH = 0.0466383, is_accept = 1
n = 227, r = 1, dH = -0.449738, is_accept = 1
n = 228, r = 0.282959, dH = 1.26245, is_accept = 0
n = 229, r = 0.789892, dH = 0.235859, is_accept = 1
n = 230, r = 0.991694, dH = 0.00834097, is_accept = 1
n = 231, r = 0.690016, dH = 0.37104, is_accept = 1
n = 232, r = 1, dH = -0.453512, is_accept = 1
n = 233, r = 0.818312, dH = 0.200512, is_accept = 1
n = 234, r = 0.968193, dH = 0.0323235, is_accept = 1
n = 235, r = 1, dH = -0.173591, is_accept = 1
n = 236, r = 1, dH = -0.29682, is_accept = 1
n = 237, r = 0.0742251, dH = 2.60065, is_accept = 0
n = 238, r = 1, dH = -0.102097, is_accept = 1
n = 239, r = 1, dH = -0.825418, is_accept = 1
n = 240, r = 0.781059, dH = 0.247105, is_accept = 1
n = 241, r = 0.0165646, dH = 4.10049, is_accept = 0
n = 242, r = 1, dH = -0.0328717, is_accept = 1
n = 243, r = 0.975881, dH = 0.0244143, is_accept = 1
n = 244, r = 1, dH = -0.545771, is_accept = 1
n = 245, r = 0.832004, dH = 0.183919, is_accept = 1
n = 246, r = 0.181388, dH = 1.70712, is_accept = 0
n = 247, r = 0.235479, dH = 1.44613, is_accept = 0
n = 248, r = 0.814971, dH = 0.204602, is_accept = 1
n = 249, r = 0.937715, dH = 0.0643096, is_accept = 1
n = 250, r = 0.877232, dH = 0.130984, is_accept = 1
