openmp threads = 1
eigen threads = 1
seed = 2574
exact = 6.882880141375221e-01
n = 108, r = 0.585264, dH = 0.535692, is_accept = 0
n = 109, r = 1.35611e-11, dH = 25.0238, is_accept = 0
n = 110, r = 1, dH = -0.425565, is_accept = 1
n = 111, r = 0.876833, dH = 0.131439, is_accept = 1
n = 112, r = 1, dH = -0.187751, is_accept = 1
n = 113, r = 1, dH = -0.0432987, is_accept = 1
n = 114, r = 1, dH = -0.155137, is_accept = 1
n = 115, r = 1, dH = -0.181674, is_accept = 1
n = 116, r = 1, dH = -0.130317, is_accept = 1
n = 117, r = 1, dH = -0.446704, is_accept = 1
n = 118, r = 0.286859, dH = 1.24876, is_accept = 1
n = 119, r = 0.868613, dH = 0.140858, is_accept = 1
n = 120, r = 0.560082, dH = 0.579672, is_accept = 1
n = 121, r = 0.965048, dH = 0.0355774, is_accept = 1
n = 122, r = 0.700396, dH = 0.35611, is_accept = 1
n = 123, r = 0.868818, dH = 0.140622, is_accept = 1
n = 124, r = 0.0396541, dH = 3.22756, is_accept = 0
n = 125, r = 0.0109081, dH = 4.51825, is_accept = 0
n = 126, r = 0.155801, dH = 1.85918, is_accept = 0
n = 127, r = 1, dH = -0.0197609, is_accept = 1
n = 128, r = 0.783156, dH = 0.244424, is_accept = 1
n = 129, r = 0.955229, dH = 0.0458037, is_accept = 1
n = 130, r = 1, dH = -0.0598449, is_accept = 1
n = 131, r = 0.745019, dH = 0.294346, is_accept = 1
n = 132, r = 0.741578, dH = 0.298975, is_accept = 0
n = 133, r = 0.565454, dH = 0.570126, is_accept = 1
n = 134, r = 0.796013, dH = 0.22814, is_accept = 1
n = 135, r = 0.949748, dH = 0.0515586, is_accept = 0
n = 136, r = 1, dH = -0.0431615, is_accept = 1
n = 137, r = 1, dH = -0.0641697, is_accept = 1
n = 138, r = 1, dH = -0.000559296, is_accept = 1
n = 139, r = 0.904004, dH = 0.100921, is_accept = 1
n = 140, r = 0.897357, dH = 0.108301, is_accept = 0
n = 141, r = 1.59725e-05, dH = 11.0446, is_accept = 0
n = 142, r = 0.62895, dH = 0.463704, is_accept = 1
n = 143, r = 0.81934, dH = 0.199256, is_accept = 1
n = 144, r = 1, dH = -0.0203415, is_accept = 1
n = 145, r = 1, dH = -0.276439, is_accept = 1
n = 146, r = 1, dH = -0.228449, is_accept = 1
n = 147, r = 0.624535, dH = 0.470748, is_accept = 0
n = 148, r = 1, dH = -0.47957, is_accept = 1
n = 149, r = 1, dH = -0.233521, is_accept = 1
n = 150, r = 0.911155, dH = 0.0930427, is_accept = 1
n = 151, r = 1, dH = -0.0575284, is_accept = 1
n = 152, r = 0.751101, dH = 0.286215, is_accept = 1
n = 153, r = 0.000514314, dH = 7.57268, is_accept = 0
n = 154, r = 2.1475e-13, dH = 29.1693, is_accept = 0
n = 155, r = 1, dH = -0.408277, is_accept = 1
n = 156, r = 0.843628, dH = 0.170043, is_accept = 1
n = 157, r = 0.774566, dH = 0.255452, is_accept = 1
n = 158, r = 1, dH = -0.0360898, is_accept = 1
n = 159, r = 0.331818, dH = 1.10317, is_accept = 1
n = 160, r = 1, dH = -0.183712, is_accept = 1
n = 161, r = 8.65798e-05, dH = 9.35444, is_accept = 0
n = 162, r = 0.77895, dH = 0.249808, is_accept = 0
n = 163, r = 0.842596, dH = 0.171268, is_accept = 1
n = 164, r = 1.6222e-05, dH = 11.0291, is_accept = 0
n = 165, r = 0.655738, dH = 0.421993, is_accept = 1
n = 166, r = 2.21129e-11, dH = 24.5349, is_accept = 0
n = 167, r = 0.689116, dH = 0.372346, is_accept = 1
n = 168, r = 1, dH = -0.060915, is_accept = 1
n = 169, r = 0.892786, dH = 0.113408, is_accept = 1
n = 170, r = 1, dH = -0.330503, is_accept = 1
n = 171, r = 0.866603, dH = 0.143175, is_accept = 1
n = 172, r = 0.0746793, dH = 2.59455, is_accept = 0
n = 173, r = 1, dH = -0.172195, is_accept = 1
n = 174, r = 0.714468, dH = 0.336217, is_accept = 1
n = 175, r = 8.3639e-06, dH = 11.6916, is_accept = 0
n = 176, r = 1, dH = -2.00626, is_accept = 1
n = 177, r = 0.999914, dH = 8.57161e-05, is_accept = 1
n = 178, r = 1, dH = -0.250285, is_accept = 1
n = 179, r = 0.501378, dH = 0.690396, is_accept = 0
n = 180, r = 0.551619, dH = 0.594897, is_accept = 1
n = 181, r = 0.944691, dH = 0.056897, is_accept = 1
n = 182, r = 1, dH = -0.27589, is_accept = 1
n = 183, r = 1, dH = -0.285044, is_accept = 1
n = 184, r = 0.721728, dH = 0.326107, is_accept = 0
n = 185, r = 1, dH = -0.05289, is_accept = 1
n = 186, r = 1, dH = -0.143763, is_accept = 1
n = 187, r = 0.771032, dH = 0.260025, is_accept = 1
n = 188, r = 1, dH = -0.082781, is_accept = 1
n = 189, r = 0.764226, dH = 0.268892, is_accept = 1
n = 190, r = 1, dH = -0.410057, is_accept = 1
n = 191, r = 0.966955, dH = 0.0336034, is_accept = 1
n = 192, r = 1, dH = -0.179271, is_accept = 1
n = 193, r = 0.743935, dH = 0.295802, is_accept = 0
n = 194, r = 0.994167, dH = 0.00585028, is_accept = 1
n = 195, r = 1, dH = -0.158477, is_accept = 1
n = 196, r = 1, dH = -0.229741, is_accept = 1
n = 197, r = 0.92078, dH = 0.0825345, is_accept = 1
n = 198, r = 0.97391, dH = 0.0264359, is_accept = 1
n = 199, r = 1, dH = -0.134851, is_accept = 1
n = 200, r = 1, dH = -0.305937, is_accept = 1
n = 201, r = 0.830673, dH = 0.185519, is_accept = 0
n = 202, r = 1, dH = -0.0519081, is_accept = 1
n = 203, r = 0.014638, dH = 4.22414, is_accept = 0
n = 204, r = 0.824953, dH = 0.192428, is_accept = 0
n = 205, r = 0.644684, dH = 0.438996, is_accept = 0
n = 206, r = 0.797488, dH = 0.226289, is_accept = 1
n = 207, r = 0.89634, dH = 0.109435, is_accept = 1
n = 208, r = 1, dH = -0.253864, is_accept = 1
n = 209, r = 1, dH = -0.102323, is_accept = 1
n = 210, r = 0.851561, dH = 0.160684, is_accept = 1
n = 211, r = 0.831927, dH = 0.184011, is_accept = 1
n = 212, r = 0.881418, dH = 0.126223, is_accept = 1
n = 213, r = 0.747911, dH = 0.290471, is_accept = 1
n = 214, r = 1, dH = -0.0486704, is_accept = 1
n = 215, r = 1, dH = -0.032968, is_accept = 1
