openmp threads = 1
eigen threads = 1
seed = 27141
exact = 1.027668950414026e+00
n = 107, r = 0.740048, dH = 0.30104, is_accept = 1
n = 108, r = 1, dH = -0.195246, is_accept = 1
n = 109, r = 1, dH = -0.00733401, is_accept = 1
n = 110, r = 1, dH = -1.07657, is_accept = 1
n = 111, r = 0.871447, dH = 0.137601, is_accept = 1
n = 112, r = 1, dH = -0.0106077, is_accept = 1
n = 113, r = 1, dH = -0.106369, is_accept = 1
n = 114, r = 0.528752, dH = 0.637235, is_accept = 0
n = 115, r = 0.135636, dH = 1.99778, is_accept = 0
n = 116, r = 0, dH = 1175.46, is_accept = 0
n = 117, r = 1, dH = -0.383792, is_accept = 1
n = 118, r = 0.541429, dH = 0.613543, is_accept = 1
n = 119, r = 1, dH = -0.0654988, is_accept = 1
n = 120, r = 0.958346, dH = 0.0425466, is_accept = 1
n = 121, r = 1, dH = -0.351145, is_accept = 1
n = 122, r = 1, dH = -0.154152, is_accept = 1
n = 123, r = 0.901836, dH = 0.103323, is_accept = 1
n = 124, r = 0.770292, dH = 0.260986, is_accept = 1
n = 125, r = 1, dH = -0.317909, is_accept = 1
n = 126, r = 0.0359923, dH = 3.32445, is_accept = 0
n = 127, r = 0.0119797, dH = 4.42454, is_accept = 0
n = 128, r = 0.783954, dH = 0.243405, is_accept = 1
n = 129, r = 3.51534e-06, dH = 12.5584, is_accept = 0
n = 130, r = 0.830546, dH = 0.185672, is_accept = 1
n = 131, r = 0.164776, dH = 1.80317, is_accept = 0
n = 132, r = 1, dH = -0.301466, is_accept = 1
n = 133, r = 0.958633, dH = 0.0422471, is_accept = 1
n = 134, r = 0.818434, dH = 0.200362, is_accept = 1
n = 135, r = 0.628614, dH = 0.464237, is_accept = 0
n = 136, r = 1, dH = -0.15098, is_accept = 1
n = 137, r = 1, dH = -0.268185, is_accept = 1
n = 138, r = 1, dH = -2.61294, is_accept = 1
n = 139, r = 0.738609, dH = 0.302986, is_accept = 1
n = 140, r = 0.339984, dH = 1.07886, is_accept = 0
n = 141, r = 0.93864, dH = 0.0633236, is_accept = 1
n = 142, r = 0.00308228, dH = 5.78209, is_accept = 0
n = 143, r = 0.93272, dH = 0.0696498, is_accept = 1
n = 144, r = 0.879138, dH = 0.128813, is_accept = 0
n = 145, r = 0.898105, dH = 0.107469, is_accept = 1
n = 146, r = 1, dH = -0.0713678, is_accept = 1
n = 147, r = 0.878732, dH = 0.129275, is_accept = 1
n = 148, r = 0.772762, dH = 0.257784, is_accept = 1
n = 149, r = 0.0392623, dH = 3.23749, is_accept = 0
n = 150, r = 1, dH = -0.572197, is_accept = 1
n = 151, r = 0.872658, dH = 0.136211, is_accept = 0
n = 152, r = 0.644796, dH = 0.438822, is_accept = 0
n = 153, r = 0.183304, dH = 1.69661, is_accept = 0
n = 154, r = 0.912311, dH = 0.0917741, is_accept = 1
n = 155, r = 0.528541, dH = 0.637634, is_accept = 1
n = 156, r = 1, dH = -0.0640234, is_accept = 1
n = 157, r = 1, dH = -0.266537, is_accept = 1
n = 158, r = 0.945481, dH = 0.0560616, is_accept = 0
n = 159, r = 1, dH = -0.284278, is_accept = 1
n = 160, r = 0, dH = 1264.67, is_accept = 0
n = 161, r = 0.930175, dH = 0.0723829, is_accept = 1
n = 162, r = 0.87832, dH = 0.129744, is_accept = 1
n = 163, r = 1, dH = -0.173133, is_accept = 1
n = 164, r = 1, dH = -0.351941, is_accept = 1
n = 165, r = 1, dH = -2.78996, is_accept = 1
n = 166, r = 0.966343, dH = 0.0342367, is_accept = 1
n = 167, r = 0.966569, dH = 0.0340024, is_accept = 1
n = 168, r = 0.757698, dH = 0.277471, is_accept = 0
