openmp threads = 1
eigen threads = 1
seed = 7125
exact = 6.490283582918644e-01
n = 0, r = 1.4235e-30, dH = 68.7244, is_accept = 1
n = 1, r = 0.0959451, dH = 2.34398, is_accept = 1
n = 2, r = 0.474125, dH = 0.746285, is_accept = 1
n = 3, r = 0.973564, dH = 0.0267915, is_accept = 1
n = 4, r = 0.518582, dH = 0.656657, is_accept = 1
n = 5, r = 1.07822e-05, dH = 11.4376, is_accept = 1
n = 6, r = 0.623339, dH = 0.472664, is_accept = 1
n = 7, r = 0.717432, dH = 0.332078, is_accept = 1
n = 8, r = 0.676685, dH = 0.39055, is_accept = 1
n = 9, r = 0.964781, dH = 0.0358536, is_accept = 1
n = 10, r = 1, dH = -0.265972, is_accept = 1
n = 11, r = 0.856719, dH = 0.154645, is_accept = 1
n = 12, r = 0.937995, dH = 0.0640104, is_accept = 1
n = 13, r = 1, dH = -0.105949, is_accept = 1
n = 14, r = 0.820625, dH = 0.197689, is_accept = 1
n = 15, r = 0.766374, dH = 0.266084, is_accept = 1
n = 16, r = 6.18717e-08, dH = 16.5982, is_accept = 1
n = 17, r = 0.85332, dH = 0.15862, is_accept = 1
n = 18, r = 0.779747, dH = 0.248785, is_accept = 1
n = 19, r = 1, dH = -0.244411, is_accept = 1
n = 20, r = 0.896279, dH = 0.109504, is_accept = 0
n = 21, r = 1, dH = -0.0563446, is_accept = 1
n = 22, r = 5.387e-06, dH = 12.1315, is_accept = 0
n = 23, r = 0.826532, dH = 0.190516, is_accept = 1
n = 24, r = 5.74405e-42, dH = 94.9604, is_accept = 0
n = 25, r = 0.828457, dH = 0.18819, is_accept = 1
n = 26, r = 1, dH = -0.0634883, is_accept = 1
n = 27, r = 1, dH = -0.0272406, is_accept = 1
n = 28, r = 1, dH = -0.264305, is_accept = 1
n = 29, r = 0.930854, dH = 0.0716524, is_accept = 1
n = 30, r = 1, dH = -0.176841, is_accept = 1
n = 31, r = 0.867973, dH = 0.141595, is_accept = 1
n = 32, r = 0.985213, dH = 0.0148977, is_accept = 1
n = 33, r = 1, dH = -0.248621, is_accept = 1
n = 34, r = 1, dH = -0.69674, is_accept = 1
n = 35, r = 0.907756, dH = 0.0967798, is_accept = 1
n = 36, r = 0.761518, dH = 0.272442, is_accept = 1
n = 37, r = 1, dH = -0.032557, is_accept = 1
n = 38, r = 0.729733, dH = 0.315077, is_accept = 0
n = 39, r = 0.835503, dH = 0.179721, is_accept = 1
n = 40, r = 0.808228, dH = 0.212911, is_accept = 1
n = 41, r = 0.968802, dH = 0.0316955, is_accept = 1
n = 42, r = 1, dH = -0.0400741, is_accept = 1
n = 43, r = 0.520281, dH = 0.653386, is_accept = 1
n = 44, r = 1, dH = -0.0354537, is_accept = 1
n = 45, r = 1, dH = -0.325611, is_accept = 1
n = 46, r = 1, dH = -0.230633, is_accept = 1
n = 47, r = 1, dH = -0.0744115, is_accept = 1
n = 48, r = 1, dH = -0.00166658, is_accept = 1
n = 49, r = 0.766197, dH = 0.266316, is_accept = 1
n = 50, r = 0.885906, dH = 0.121144, is_accept = 1
n = 51, r = 0.82992, dH = 0.186426, is_accept = 1
n = 52, r = 0.810575, dH = 0.210012, is_accept = 1
n = 53, r = 1, dH = -0.273747, is_accept = 1
n = 54, r = 1, dH = -0.0132982, is_accept = 1
n = 55, r = 1, dH = -0.219639, is_accept = 1
n = 56, r = 0.81824, dH = 0.2006, is_accept = 1
n = 57, r = 0.890749, dH = 0.115692, is_accept = 1
n = 58, r = 1, dH = -0.242574, is_accept = 1
n = 59, r = 0.823453, dH = 0.194249, is_accept = 1
n = 60, r = 0.753879, dH = 0.282524, is_accept = 1
n = 61, r = 0.707599, dH = 0.345878, is_accept = 1
n = 62, r = 1, dH = -0.507454, is_accept = 1
n = 63, r = 1, dH = -0.199541, is_accept = 1
n = 64, r = 1, dH = -0.557801, is_accept = 1
n = 65, r = 1, dH = -0.960841, is_accept = 1
n = 66, r = 0.813188, dH = 0.206793, is_accept = 0
n = 67, r = 0.984193, dH = 0.0159334, is_accept = 1
n = 68, r = 0.00115947, dH = 6.75979, is_accept = 0
n = 69, r = 0.335071, dH = 1.09341, is_accept = 0
n = 70, r = 0.684464, dH = 0.37912, is_accept = 1
n = 71, r = 1, dH = -0.0823129, is_accept = 1
n = 72, r = 1, dH = -0.128613, is_accept = 1
n = 73, r = 0.728982, dH = 0.316107, is_accept = 0
n = 74, r = 1, dH = -0.498985, is_accept = 1
n = 75, r = 0.289211, dH = 1.2406, is_accept = 1
n = 76, r = 1, dH = -0.310749, is_accept = 1
n = 77, r = 1, dH = -0.511415, is_accept = 1
n = 78, r = 0.000898594, dH = 7.01468, is_accept = 0
n = 79, r = 0.803885, dH = 0.218299, is_accept = 1
n = 80, r = 0.919473, dH = 0.0839545, is_accept = 1
n = 81, r = 0.243767, dH = 1.41154, is_accept = 0
n = 82, r = 0.830685, dH = 0.185505, is_accept = 1
n = 83, r = 0.894034, dH = 0.112012, is_accept = 0
n = 84, r = 1, dH = -0.0188643, is_accept = 1
n = 85, r = 1, dH = -0.00116542, is_accept = 1
n = 86, r = 0.711455, dH = 0.340444, is_accept = 1
n = 87, r = 1, dH = -0.240792, is_accept = 1
n = 88, r = 0.99682, dH = 0.00318523, is_accept = 1
n = 89, r = 1, dH = -0.559232, is_accept = 1
n = 90, r = 0.712629, dH = 0.338794, is_accept = 0
n = 91, r = 0.983559, dH = 0.0165777, is_accept = 1
n = 92, r = 0.76588, dH = 0.26673, is_accept = 1
n = 93, r = 1, dH = -0.0339693, is_accept = 1
n = 94, r = 0.8222, dH = 0.195772, is_accept = 1
n = 95, r = 1, dH = -0.161048, is_accept = 1
n = 96, r = 0.659584, dH = 0.416145, is_accept = 1
n = 97, r = 0.944579, dH = 0.0570162, is_accept = 1
n = 98, r = 0.951508, dH = 0.0497076, is_accept = 1
n = 99, r = 0.962029, dH = 0.0387106, is_accept = 1
n = 100, r = 0.76764, dH = 0.264434, is_accept = 0
n = 101, r = 1, dH = -0.167935, is_accept = 1
n = 102, r = 0.150493, dH = 1.89384, is_accept = 0
n = 103, r = 0.956888, dH = 0.0440692, is_accept = 1
n = 104, r = 8.40309e-10, dH = 20.8973, is_accept = 0
n = 105, r = 1, dH = -0.137026, is_accept = 1
n = 106, r = 0.759562, dH = 0.275014, is_accept = 0
n = 107, r = 1, dH = -0.236581, is_accept = 1
n = 108, r = 1, dH = -0.038963, is_accept = 1
n = 109, r = 0.897834, dH = 0.10777, is_accept = 1
n = 110, r = 0.800722, dH = 0.222241, is_accept = 1
n = 111, r = 1, dH = -0.360222, is_accept = 1
n = 112, r = 0.297574, dH = 1.21209, is_accept = 0
n = 113, r = 0.000808138, dH = 7.12078, is_accept = 0
n = 114, r = 1, dH = -0.068676, is_accept = 1
n = 115, r = 0.0561908, dH = 2.879, is_accept = 1
n = 116, r = 1, dH = -0.206509, is_accept = 1
n = 117, r = 0.977106, dH = 0.0231605, is_accept = 1
