openmp threads = 1
eigen threads = 1
seed = 30151
exact = 1.101960441795678e+00
n = 108, r = 0.711063, dH = 0.340994, is_accept = 0
n = 109, r = 0.991212, dH = 0.0088269, is_accept = 0
n = 110, r = 1, dH = -0.198103, is_accept = 1
n = 111, r = 0.619314, dH = 0.479143, is_accept = 0
n = 112, r = 0.731284, dH = 0.312953, is_accept = 1
n = 113, r = 0.991973, dH = 0.00805985, is_accept = 1
n = 114, r = 1, dH = -0.207585, is_accept = 1
n = 115, r = 0.0328846, dH = 3.41475, is_accept = 0
n = 116, r = 0.897654, dH = 0.10797, is_accept = 1
n = 117, r = 1, dH = -0.0102994, is_accept = 1
n = 118, r = 1, dH = -0.149083, is_accept = 1
n = 119, r = 0.844474, dH = 0.169042, is_accept = 1
n = 120, r = 0.890736, dH = 0.115707, is_accept = 1
n = 121, r = 1, dH = -0.292101, is_accept = 1
n = 122, r = 0.720066, dH = 0.328413, is_accept = 1
n = 123, r = 1, dH = -0.0558977, is_accept = 1
n = 124, r = 1, dH = -0.0276892, is_accept = 1
n = 125, r = 1, dH = -0.048817, is_accept = 1
n = 126, r = 0.960634, dH = 0.0401623, is_accept = 1
n = 127, r = 2.86915e-13, dH = 28.8796, is_accept = 0
n = 128, r = 0.985668, dH = 0.0144355, is_accept = 1
n = 129, r = 0.353632, dH = 1.0395, is_accept = 1
n = 130, r = 0.869243, dH = 0.140133, is_accept = 1
n = 131, r = 1, dH = -0.231057, is_accept = 1
n = 132, r = 0.950465, dH = 0.050804, is_accept = 1
n = 133, r = 0.342585, dH = 1.07124, is_accept = 1
n = 134, r = 0.944037, dH = 0.0575895, is_accept = 1
n = 135, r = 0.596667, dH = 0.516397, is_accept = 0
n = 136, r = 1, dH = -0.19525, is_accept = 1
n = 137, r = 0.942244, dH = 0.0594914, is_accept = 1
n = 138, r = 0.981454, dH = 0.0187203, is_accept = 1
n = 139, r = 0.640385, dH = 0.445685, is_accept = 1
n = 140, r = 1, dH = -0.500706, is_accept = 1
n = 141, r = 0.000911056, dH = 7.00091, is_accept = 0
n = 142, r = 0.0648361, dH = 2.73589, is_accept = 0
n = 143, r = 0.815399, dH = 0.204078, is_accept = 0
n = 144, r = 1, dH = -0.792853, is_accept = 1
n = 145, r = 0.793764, dH = 0.230969, is_accept = 0
n = 146, r = 1, dH = -0.272955, is_accept = 1
n = 147, r = 0.951205, dH = 0.0500256, is_accept = 1
n = 148, r = 0.842156, dH = 0.17179, is_accept = 1
n = 149, r = 0.922727, dH = 0.0804214, is_accept = 1
n = 150, r = 0.637302, dH = 0.450511, is_accept = 1
n = 151, r = 1, dH = -0.860496, is_accept = 1
n = 152, r = 0.794823, dH = 0.229636, is_accept = 1
n = 153, r = 0.886814, dH = 0.12012, is_accept = 1
n = 154, r = 1, dH = -0.166227, is_accept = 1
n = 155, r = 1, dH = -0.130283, is_accept = 1
n = 156, r = 1, dH = -0.294653, is_accept = 1
n = 157, r = 0.949082, dH = 0.0522603, is_accept = 1
n = 158, r = 1, dH = -0.657557, is_accept = 1
n = 159, r = 0.746691, dH = 0.292103, is_accept = 1
n = 160, r = 1.67608e-05, dH = 10.9965, is_accept = 0
n = 161, r = 1, dH = -0.161786, is_accept = 1
n = 162, r = 1, dH = -0.0332951, is_accept = 1
n = 163, r = 0.594572, dH = 0.519914, is_accept = 1
n = 164, r = 0.650523, dH = 0.429979, is_accept = 1
n = 165, r = 0.574941, dH = 0.553489, is_accept = 1
n = 166, r = 0.90295, dH = 0.102088, is_accept = 1
n = 167, r = 0.558139, dH = 0.583148, is_accept = 1
n = 168, r = 0.943728, dH = 0.0579172, is_accept = 1
n = 169, r = 0.746269, dH = 0.292669, is_accept = 0
n = 170, r = 0.804539, dH = 0.217486, is_accept = 1
n = 171, r = 1, dH = -0.328773, is_accept = 1
n = 172, r = 1, dH = -0.327536, is_accept = 1
n = 173, r = 0.826505, dH = 0.190549, is_accept = 1
n = 174, r = 0.712414, dH = 0.339096, is_accept = 0
n = 175, r = 1, dH = -0.228614, is_accept = 1
n = 176, r = 1, dH = -0.0185691, is_accept = 1
n = 177, r = 1, dH = -0.132175, is_accept = 1
n = 178, r = 0.998504, dH = 0.00149753, is_accept = 1
n = 179, r = 0.190265, dH = 1.65933, is_accept = 0
n = 180, r = 0.35349, dH = 1.0399, is_accept = 0
n = 181, r = 1, dH = -0.068586, is_accept = 1
n = 182, r = 0.0109915, dH = 4.51063, is_accept = 0
n = 183, r = 0.670985, dH = 0.399009, is_accept = 1
n = 184, r = 0.26561, dH = 1.32573, is_accept = 0
n = 185, r = 1, dH = -0.0498263, is_accept = 1
n = 186, r = 0.902118, dH = 0.10301, is_accept = 1
n = 187, r = 1, dH = -0.0834535, is_accept = 1
n = 188, r = 1, dH = -0.305621, is_accept = 1
n = 189, r = 0.951895, dH = 0.0493003, is_accept = 1
n = 190, r = 0.933953, dH = 0.0683288, is_accept = 1
n = 191, r = 1, dH = -0.133661, is_accept = 1
n = 192, r = 1, dH = -0.162778, is_accept = 1
n = 193, r = 0.840181, dH = 0.174138, is_accept = 1
n = 194, r = 0.471238, dH = 0.752392, is_accept = 1
n = 195, r = 1, dH = -0.0147233, is_accept = 1
n = 196, r = 0.810197, dH = 0.210477, is_accept = 0
n = 197, r = 1, dH = -0.16692, is_accept = 1
n = 198, r = 0.890772, dH = 0.115667, is_accept = 1
n = 199, r = 1, dH = -0.0615244, is_accept = 1
n = 200, r = 0.695487, dH = 0.363144, is_accept = 1
n = 201, r = 0.0010156, dH = 6.89227, is_accept = 0
n = 202, r = 1, dH = -0.0370485, is_accept = 1
n = 203, r = 0.914198, dH = 0.0897086, is_accept = 1
n = 204, r = 0.731617, dH = 0.312498, is_accept = 1
n = 205, r = 1, dH = -0.0875717, is_accept = 1
n = 206, r = 1, dH = -0.310494, is_accept = 1
n = 207, r = 1, dH = -0.183215, is_accept = 1
n = 208, r = 0.683562, dH = 0.380438, is_accept = 1
n = 209, r = 1, dH = -1.1058, is_accept = 1
n = 210, r = 0.171922, dH = 1.76072, is_accept = 0
n = 211, r = 0.117149, dH = 2.1443, is_accept = 0
n = 212, r = 1, dH = -0.307219, is_accept = 1
n = 213, r = 0.958194, dH = 0.0427049, is_accept = 1
n = 214, r = 0.734912, dH = 0.308005, is_accept = 1
n = 215, r = 1, dH = -0.921554, is_accept = 1
n = 216, r = 0.823108, dH = 0.194667, is_accept = 1
n = 217, r = 1, dH = -0.832441, is_accept = 1
n = 218, r = 0.989806, dH = 0.0102467, is_accept = 1
n = 219, r = 0.849539, dH = 0.163062, is_accept = 1
n = 220, r = 1, dH = -0.153152, is_accept = 1
n = 221, r = 0.875139, dH = 0.133373, is_accept = 1
n = 222, r = 0.968706, dH = 0.0317944, is_accept = 1
n = 223, r = 1, dH = -0.251832, is_accept = 1
n = 224, r = 1, dH = -0.0380591, is_accept = 1
n = 225, r = 1, dH = -0.0504752, is_accept = 1
n = 226, r = 0.840188, dH = 0.174129, is_accept = 1
n = 227, r = 0.86182, dH = 0.148708, is_accept = 1
n = 228, r = 0.627143, dH = 0.46658, is_accept = 0
n = 229, r = 0.663698, dH = 0.409928, is_accept = 1
n = 230, r = 1, dH = -0.453943, is_accept = 1
n = 231, r = 1, dH = -0.191693, is_accept = 1
n = 232, r = 0.98702, dH = 0.0130652, is_accept = 1
n = 233, r = 1, dH = -0.245236, is_accept = 1
n = 234, r = 1, dH = -0.100684, is_accept = 1
n = 235, r = 0.939579, dH = 0.0623234, is_accept = 1
n = 236, r = 1, dH = -0.069943, is_accept = 1
n = 237, r = 1, dH = -0.228466, is_accept = 1
n = 238, r = 1, dH = -0.121508, is_accept = 1
n = 239, r = 0.562669, dH = 0.575064, is_accept = 0
n = 240, r = 1, dH = -0.019157, is_accept = 1
n = 241, r = 0.979033, dH = 0.0211899, is_accept = 1
n = 242, r = 0.871308, dH = 0.13776, is_accept = 1
n = 243, r = 1, dH = -0.46022, is_accept = 1
n = 244, r = 1, dH = -0.265773, is_accept = 1
n = 245, r = 0.951765, dH = 0.0494375, is_accept = 1
n = 246, r = 0.0174561, dH = 4.04807, is_accept = 0
n = 247, r = 0.931325, dH = 0.071147, is_accept = 1
n = 248, r = 1, dH = -0.188303, is_accept = 1
n = 249, r = 1, dH = -0.00879378, is_accept = 1
n = 250, r = 0.969703, dH = 0.0307657, is_accept = 1
n = 251, r = 0.917231, dH = 0.0863957, is_accept = 1
n = 252, r = 0.932523, dH = 0.0698618, is_accept = 1
n = 253, r = 0.320258, dH = 1.13863, is_accept = 0
n = 254, r = 1, dH = -0.140805, is_accept = 1
n = 255, r = 1, dH = -0.0331316, is_accept = 1
n = 256, r = 0.674274, dH = 0.394118, is_accept = 0
n = 257, r = 1, dH = -0.0216624, is_accept = 1
n = 258, r = 1, dH = -0.249639, is_accept = 1
n = 259, r = 1, dH = -0.0497109, is_accept = 1
n = 260, r = 0.934186, dH = 0.0680801, is_accept = 1
n = 261, r = 0.888951, dH = 0.117713, is_accept = 1
n = 262, r = 0.785468, dH = 0.241475, is_accept = 1
n = 263, r = 0.00268937, dH = 5.91845, is_accept = 0
n = 264, r = 0.924378, dH = 0.0786339, is_accept = 1
n = 265, r = 0.641679, dH = 0.443667, is_accept = 0
n = 266, r = 1, dH = -0.116191, is_accept = 1
n = 267, r = 1, dH = -0.0188745, is_accept = 1
n = 268, r = 1, dH = -0.224013, is_accept = 1
n = 269, r = 0.233994, dH = 1.45246, is_accept = 0
n = 270, r = 0.923997, dH = 0.0790466, is_accept = 1
n = 271, r = 1, dH = -0.0126637, is_accept = 1
n = 272, r = 0.947626, dH = 0.0537958, is_accept = 1
n = 273, r = 1, dH = -0.628606, is_accept = 1
n = 274, r = 0.784159, dH = 0.243143, is_accept = 1
n = 275, r = 0.508359, dH = 0.676568, is_accept = 0
n = 276, r = 0.864583, dH = 0.145508, is_accept = 1
n = 277, r = 0.91962, dH = 0.0837945, is_accept = 1
n = 278, r = 0.0146478, dH = 4.22347, is_accept = 0
n = 279, r = 1, dH = -0.544401, is_accept = 1
n = 280, r = 0.88867, dH = 0.11803, is_accept = 1
n = 281, r = 0.704273, dH = 0.350589, is_accept = 1
n = 282, r = 0.720235, dH = 0.328177, is_accept = 1
n = 283, r = 0.4703, dH = 0.754385, is_accept = 1
n = 284, r = 1, dH = -0.0327272, is_accept = 1
n = 285, r = 1, dH = -0.28103, is_accept = 1
n = 286, r = 0.986231, dH = 0.0138645, is_accept = 1
n = 287, r = 0.0816378, dH = 2.50546, is_accept = 0
n = 288, r = 6.00086e-09, dH = 18.9314, is_accept = 0
n = 289, r = 4.37647e-14, dH = 30.7599, is_accept = 0
n = 290, r = 0.537579, dH = 0.620679, is_accept = 1
n = 291, r = 0.957974, dH = 0.0429346, is_accept = 1
n = 292, r = 1, dH = -0.212977, is_accept = 1
n = 293, r = 0.987489, dH = 0.0125903, is_accept = 1
n = 294, r = 2.92953e-05, dH = 10.4381, is_accept = 0
n = 295, r = 0.961153, dH = 0.0396217, is_accept = 1
n = 296, r = 0.968144, dH = 0.0323747, is_accept = 1
n = 297, r = 1, dH = -0.205979, is_accept = 1
n = 298, r = 1, dH = -0.011662, is_accept = 1
n = 299, r = 1, dH = -0.505062, is_accept = 1
n = 300, r = 0.771508, dH = 0.259408, is_accept = 1
n = 301, r = 0.605202, dH = 0.502192, is_accept = 1
n = 302, r = 1, dH = -0.158882, is_accept = 1
n = 303, r = 0.790441, dH = 0.235164, is_accept = 1
n = 304, r = 0.942243, dH = 0.059492, is_accept = 1
n = 305, r = 0.722658, dH = 0.324819, is_accept = 0
n = 306, r = 1, dH = -0.00289452, is_accept = 1
n = 307, r = 0.774395, dH = 0.255673, is_accept = 1
n = 308, r = 1, dH = -0.061319, is_accept = 1
n = 309, r = 0.489354, dH = 0.714669, is_accept = 1
n = 310, r = 0.00351283, dH = 5.65133, is_accept = 0
n = 311, r = 0.770184, dH = 0.261126, is_accept = 1
n = 312, r = 1, dH = -0.148744, is_accept = 1
n = 313, r = 1, dH = -0.175574, is_accept = 1
n = 314, r = 1, dH = -0.269692, is_accept = 1
n = 315, r = 0.879088, dH = 0.12887, is_accept = 1
n = 316, r = 1, dH = -0.119716, is_accept = 1
n = 317, r = 0.959136, dH = 0.0417227, is_accept = 0
n = 318, r = 0.824501, dH = 0.192976, is_accept = 1
n = 319, r = 1, dH = -0.0597643, is_accept = 1
n = 320, r = 1, dH = -0.0878399, is_accept = 1
n = 321, r = 0.212384, dH = 1.54936, is_accept = 0
n = 322, r = 1, dH = -0.25206, is_accept = 1
n = 323, r = 1, dH = -0.0110174, is_accept = 1
n = 324, r = 0.946844, dH = 0.0546208, is_accept = 1
n = 325, r = 0.0308705, dH = 3.47795, is_accept = 0
n = 326, r = 0.754816, dH = 0.281282, is_accept = 1
n = 327, r = 0.731975, dH = 0.312009, is_accept = 1
n = 328, r = 1, dH = -0.185283, is_accept = 1
n = 329, r = 1, dH = -0.0400002, is_accept = 1
n = 330, r = 0.972225, dH = 0.0281676, is_accept = 1
n = 331, r = 0.728637, dH = 0.31658, is_accept = 1
n = 332, r = 0.605254, dH = 0.502108, is_accept = 0
n = 333, r = 0.858233, dH = 0.152879, is_accept = 1
n = 334, r = 1, dH = -0.643633, is_accept = 1
n = 335, r = 0.191771, dH = 1.65145, is_accept = 0
n = 336, r = 9.37347e-11, dH = 23.0906, is_accept = 0
n = 337, r = 1, dH = -0.0498348, is_accept = 1
n = 338, r = 0.978291, dH = 0.0219485, is_accept = 1
n = 339, r = 1, dH = -0.131772, is_accept = 1
n = 340, r = 1, dH = -0.159165, is_accept = 1
n = 341, r = 0.814621, dH = 0.205032, is_accept = 1
n = 342, r = 0.549164, dH = 0.599357, is_accept = 1
n = 343, r = 0.982424, dH = 0.0177325, is_accept = 1
n = 344, r = 1, dH = -0.121222, is_accept = 1
n = 345, r = 0.767567, dH = 0.26453, is_accept = 1
n = 346, r = 1, dH = -0.217486, is_accept = 1
n = 347, r = 1, dH = -0.235081, is_accept = 1
n = 348, r = 0.267795, dH = 1.31753, is_accept = 1
n = 349, r = 0.660878, dH = 0.414185, is_accept = 1
n = 350, r = 0.28776, dH = 1.24563, is_accept = 0
n = 351, r = 1, dH = -0.457726, is_accept = 1
n = 352, r = 0.978966, dH = 0.0212584, is_accept = 1
n = 353, r = 0.791619, dH = 0.233675, is_accept = 1
n = 354, r = 1, dH = -0.246981, is_accept = 1
n = 355, r = 0.6696, dH = 0.401075, is_accept = 1
n = 356, r = 0.797853, dH = 0.225831, is_accept = 0
n = 357, r = 0.826803, dH = 0.190188, is_accept = 1
n = 358, r = 0.930259, dH = 0.0722927, is_accept = 1
n = 359, r = 1, dH = -0.216785, is_accept = 1
n = 360, r = 1, dH = -0.00830386, is_accept = 1
n = 361, r = 0.000168102, dH = 8.69094, is_accept = 0
n = 362, r = 0.944022, dH = 0.057606, is_accept = 1
n = 363, r = 0.857741, dH = 0.153454, is_accept = 1
n = 364, r = 1, dH = -0.147657, is_accept = 1
n = 365, r = 0.90166, dH = 0.103517, is_accept = 1
n = 366, r = 1, dH = -0.347318, is_accept = 1
n = 367, r = 0.900581, dH = 0.104716, is_accept = 1
n = 368, r = 1, dH = -0.239027, is_accept = 1
n = 369, r = 1, dH = -0.023273, is_accept = 1
n = 370, r = 1, dH = -0.0772538, is_accept = 1
n = 371, r = 1, dH = -0.133894, is_accept = 1
n = 372, r = 1, dH = -0.276767, is_accept = 1
n = 373, r = 1, dH = -0.315374, is_accept = 1
n = 374, r = 0.991595, dH = 0.0084404, is_accept = 1
n = 375, r = 0.613004, dH = 0.489383, is_accept = 0
n = 376, r = 0.52097, dH = 0.652062, is_accept = 1
n = 377, r = 1, dH = -0.429601, is_accept = 1
n = 378, r = 0.70172, dH = 0.354221, is_accept = 0
n = 379, r = 1, dH = -0.0599286, is_accept = 1
n = 380, r = 0.845944, dH = 0.167302, is_accept = 1
n = 381, r = 0.887124, dH = 0.119771, is_accept = 1
n = 382, r = 1, dH = -0.114215, is_accept = 1
n = 383, r = 1, dH = -0.0547395, is_accept = 1
n = 384, r = 1, dH = -0.188501, is_accept = 1
n = 385, r = 0.757478, dH = 0.277761, is_accept = 1
n = 386, r = 0.091097, dH = 2.39583, is_accept = 0
n = 387, r = 0.042521, dH = 3.15776, is_accept = 0
n = 388, r = 0.666671, dH = 0.405458, is_accept = 1
n = 389, r = 1, dH = -0.191588, is_accept = 1
n = 390, r = 1, dH = -0.113914, is_accept = 1
n = 391, r = 1, dH = -0.155366, is_accept = 1
n = 392, r = 0.849133, dH = 0.163539, is_accept = 1
