openmp threads = 1
eigen threads = 1
seed = 97
exact = 1.216718433734802e+00
n = 93, r = 0.68269, dH = 0.381714, is_accept = 1
n = 94, r = 0.933871, dH = 0.0684171, is_accept = 1
n = 95, r = 1, dH = -0.0751729, is_accept = 1
n = 96, r = 1, dH = -0.134134, is_accept = 1
n = 97, r = 0.931993, dH = 0.0704305, is_accept = 1
n = 98, r = 0.634164, dH = 0.455447, is_accept = 0
n = 99, r = 0.570791, dH = 0.560732, is_accept = 1
n = 100, r = 0.871498, dH = 0.137542, is_accept = 1
n = 101, r = 0.13206, dH = 2.0245, is_accept = 0
n = 102, r = 0.841979, dH = 0.172, is_accept = 1
n = 103, r = 1, dH = -0.199569, is_accept = 1
n = 104, r = 0.67745, dH = 0.389419, is_accept = 0
n = 105, r = 1, dH = -0.151881, is_accept = 1
n = 106, r = 0.830717, dH = 0.185467, is_accept = 1
n = 107, r = 1, dH = -0.628741, is_accept = 1
n = 108, r = 1, dH = -0.169907, is_accept = 1
n = 109, r = 1, dH = -0.0358997, is_accept = 1
n = 110, r = 0.876336, dH = 0.132006, is_accept = 1
n = 111, r = 0.739742, dH = 0.301453, is_accept = 0
n = 112, r = 1, dH = -0.315668, is_accept = 1
n = 113, r = 1, dH = -0.0894748, is_accept = 1
n = 114, r = 1, dH = -0.347921, is_accept = 1
n = 115, r = 0.851351, dH = 0.16093, is_accept = 0
n = 116, r = 1, dH = -0.00669382, is_accept = 1
n = 117, r = 0.980477, dH = 0.0197163, is_accept = 1
n = 118, r = 1, dH = -0.259391, is_accept = 1
n = 119, r = 0.879118, dH = 0.128836, is_accept = 1
n = 120, r = 1, dH = -0.0260846, is_accept = 1
n = 121, r = 1, dH = -0.00450495, is_accept = 1
n = 122, r = 1, dH = -0.35411, is_accept = 1
n = 123, r = 0.92081, dH = 0.0825013, is_accept = 1
n = 124, r = 0.936571, dH = 0.0655298, is_accept = 1
n = 125, r = 0.955047, dH = 0.0459946, is_accept = 1
n = 126, r = 1, dH = -0.211697, is_accept = 1
n = 127, r = 1, dH = -0.00978833, is_accept = 1
n = 128, r = 1, dH = -0.0633683, is_accept = 1
n = 129, r = 0.665262, dH = 0.407574, is_accept = 1
n = 130, r = 1, dH = -0.0432964, is_accept = 1
n = 131, r = 0.903588, dH = 0.101382, is_accept = 1
n = 132, r = 0.725163, dH = 0.321359, is_accept = 1
n = 133, r = 1, dH = -0.495886, is_accept = 1
n = 134, r = 1, dH = -0.23219, is_accept = 1
n = 135, r = 0.955981, dH = 0.0450174, is_accept = 1
n = 136, r = 0.958231, dH = 0.0426664, is_accept = 1
n = 137, r = 0.881922, dH = 0.125652, is_accept = 1
n = 138, r = 0.370047, dH = 0.994125, is_accept = 1
n = 139, r = 1, dH = -0.218714, is_accept = 1
n = 140, r = 0.917082, dH = 0.0865578, is_accept = 1
n = 141, r = 0.997787, dH = 0.00221498, is_accept = 1
n = 142, r = 0.893198, dH = 0.112947, is_accept = 1
n = 143, r = 0.888242, dH = 0.118511, is_accept = 1
n = 144, r = 1, dH = -0.0247511, is_accept = 1
n = 145, r = 0.699662, dH = 0.357158, is_accept = 1
n = 146, r = 1, dH = -0.442732, is_accept = 1
n = 147, r = 1, dH = -0.232613, is_accept = 1
n = 148, r = 1, dH = -0.248127, is_accept = 1
