openmp threads = 1
eigen threads = 1
seed = 27063
exact = 7.811031292801920e-01
n = 0, r = 5.43003e-09, dH = 19.0313, is_accept = 1
n = 1, r = 0.0128243, dH = 4.35641, is_accept = 1
n = 2, r = 0.444465, dH = 0.810883, is_accept = 1
n = 3, r = 0.488108, dH = 0.717218, is_accept = 1
n = 4, r = 0.697247, dH = 0.360615, is_accept = 1
n = 5, r = 0.581102, dH = 0.542828, is_accept = 1
n = 6, r = 0.392032, dH = 0.936413, is_accept = 1
n = 7, r = 0.934869, dH = 0.0673488, is_accept = 1
n = 8, r = 0.533103, dH = 0.629041, is_accept = 1
n = 9, r = 1, dH = -0.0842903, is_accept = 1
n = 10, r = 0.884873, dH = 0.122311, is_accept = 1
n = 11, r = 0.796353, dH = 0.227713, is_accept = 1
n = 12, r = 4.7623e-05, dH = 9.95219, is_accept = 1
n = 13, r = 1, dH = -0.0642236, is_accept = 1
n = 14, r = 1, dH = -0.220013, is_accept = 1
n = 15, r = 1, dH = -0.0500761, is_accept = 1
n = 16, r = 1, dH = -0.0414351, is_accept = 1
n = 17, r = 1, dH = -0.417564, is_accept = 1
n = 18, r = 0.958062, dH = 0.0428431, is_accept = 1
n = 19, r = 1, dH = -0.0454933, is_accept = 1
n = 20, r = 1, dH = -0.0506586, is_accept = 1
n = 21, r = 0.000696571, dH = 7.26934, is_accept = 0
n = 22, r = 0.870898, dH = 0.138231, is_accept = 1
n = 23, r = 0.205988, dH = 1.57994, is_accept = 0
n = 24, r = 1, dH = -0.310955, is_accept = 1
n = 25, r = 0.826659, dH = 0.190364, is_accept = 1
n = 26, r = 0.268405, dH = 1.31526, is_accept = 0
n = 27, r = 1, dH = -0.746653, is_accept = 1
n = 28, r = 0.916701, dH = 0.0869744, is_accept = 1
n = 29, r = 0.793493, dH = 0.23131, is_accept = 1
n = 30, r = 0.746057, dH = 0.292953, is_accept = 1
n = 31, r = 1, dH = -0.131565, is_accept = 1
n = 32, r = 0.437456, dH = 0.82678, is_accept = 1
n = 33, r = 4.27069e-06, dH = 12.3637, is_accept = 0
n = 34, r = 1, dH = -0.156076, is_accept = 1
n = 35, r = 1, dH = -0.175946, is_accept = 1
n = 36, r = 1, dH = -0.168123, is_accept = 1
n = 37, r = 0.929055, dH = 0.073587, is_accept = 1
n = 38, r = 0.938233, dH = 0.0637569, is_accept = 1
n = 39, r = 0.900395, dH = 0.104922, is_accept = 1
n = 40, r = 0.854282, dH = 0.157494, is_accept = 1
n = 41, r = 0.628777, dH = 0.463978, is_accept = 1
n = 42, r = 1, dH = -0.39857, is_accept = 1
n = 43, r = 1, dH = -0.207862, is_accept = 1
n = 44, r = 0.422272, dH = 0.862105, is_accept = 0
n = 45, r = 0.849509, dH = 0.163096, is_accept = 1
n = 46, r = 0.00676026, dH = 4.99669, is_accept = 0
n = 47, r = 0.611145, dH = 0.492421, is_accept = 1
n = 48, r = 0.66462, dH = 0.408539, is_accept = 1
n = 49, r = 0.90513, dH = 0.0996769, is_accept = 0
n = 50, r = 1, dH = -0.0507181, is_accept = 1
n = 51, r = 1, dH = -0.83957, is_accept = 1
n = 52, r = 0.244761, dH = 1.40747, is_accept = 1
n = 53, r = 1, dH = -0.109856, is_accept = 1
n = 54, r = 1, dH = -0.298839, is_accept = 1
n = 55, r = 0.93378, dH = 0.0685145, is_accept = 1
n = 56, r = 0.855344, dH = 0.156252, is_accept = 1
n = 57, r = 1, dH = -0.192765, is_accept = 1
n = 58, r = 0.746337, dH = 0.292578, is_accept = 1
n = 59, r = 0.93335, dH = 0.0689749, is_accept = 1
n = 60, r = 0.898431, dH = 0.107105, is_accept = 1
n = 61, r = 0.517288, dH = 0.659156, is_accept = 1
n = 62, r = 0.9181, dH = 0.0854494, is_accept = 1
n = 63, r = 0.815337, dH = 0.204154, is_accept = 1
n = 64, r = 1, dH = -0.295078, is_accept = 1
n = 65, r = 0.823501, dH = 0.19419, is_accept = 0
n = 66, r = 0.711673, dH = 0.340136, is_accept = 0
n = 67, r = 0.817521, dH = 0.201479, is_accept = 1
n = 68, r = 1, dH = -0.147992, is_accept = 1
n = 69, r = 1, dH = -0.190941, is_accept = 1
n = 70, r = 1, dH = -0.466736, is_accept = 1
n = 71, r = 0.0103192, dH = 4.57375, is_accept = 0
n = 72, r = 0.825459, dH = 0.191816, is_accept = 1
n = 73, r = 0.900159, dH = 0.105184, is_accept = 1
n = 74, r = 1, dH = -0.0784189, is_accept = 1
n = 75, r = 0.708975, dH = 0.343936, is_accept = 1
n = 76, r = 0.93301, dH = 0.0693392, is_accept = 0
n = 77, r = 1, dH = -0.33308, is_accept = 1
n = 78, r = 1, dH = -0.0758649, is_accept = 1
n = 79, r = 0.756206, dH = 0.279442, is_accept = 1
n = 80, r = 1, dH = -0.274758, is_accept = 1
n = 81, r = 0.911334, dH = 0.0928457, is_accept = 1
n = 82, r = 1, dH = -0.000324668, is_accept = 1
n = 83, r = 1, dH = -0.442802, is_accept = 1
n = 84, r = 1, dH = -0.155456, is_accept = 1
n = 85, r = 0.896881, dH = 0.108833, is_accept = 1
n = 86, r = 0.365728, dH = 1.00587, is_accept = 1
n = 87, r = 0.629634, dH = 0.462617, is_accept = 0
n = 88, r = 1, dH = -0.356257, is_accept = 1
n = 89, r = 0.798788, dH = 0.224659, is_accept = 1
n = 90, r = 0.793666, dH = 0.231093, is_accept = 1
n = 91, r = 1, dH = -0.0822998, is_accept = 1
n = 92, r = 1, dH = -0.103058, is_accept = 1
n = 93, r = 0.689265, dH = 0.372129, is_accept = 0
n = 94, r = 1, dH = -0.25645, is_accept = 1
n = 95, r = 0.880733, dH = 0.127, is_accept = 1
n = 96, r = 0.878468, dH = 0.129576, is_accept = 1
n = 97, r = 0.954347, dH = 0.0467278, is_accept = 1
n = 98, r = 0.948471, dH = 0.0529041, is_accept = 1
n = 99, r = 1, dH = -0.0605704, is_accept = 1
n = 100, r = 0.947475, dH = 0.0539542, is_accept = 1
n = 101, r = 1, dH = -0.0706179, is_accept = 1
n = 102, r = 0.938879, dH = 0.0630687, is_accept = 1
n = 103, r = 0.939071, dH = 0.0628637, is_accept = 1
n = 104, r = 1, dH = -0.163947, is_accept = 1
n = 105, r = 0.986029, dH = 0.0140698, is_accept = 1
n = 106, r = 1, dH = -0.185813, is_accept = 1
n = 107, r = 0.184203, dH = 1.69172, is_accept = 1
n = 108, r = 0.868926, dH = 0.140497, is_accept = 0
n = 109, r = 1, dH = -0.29177, is_accept = 1
n = 110, r = 0.837746, dH = 0.17704, is_accept = 1
n = 111, r = 0.760268, dH = 0.274085, is_accept = 1
n = 112, r = 0.817105, dH = 0.201987, is_accept = 1
n = 113, r = 0.835378, dH = 0.179871, is_accept = 0
n = 114, r = 1, dH = -0.186961, is_accept = 1
n = 115, r = 0.704765, dH = 0.349891, is_accept = 1
n = 116, r = 1, dH = -0.000524102, is_accept = 1
n = 117, r = 1, dH = -1.34291, is_accept = 1
n = 118, r = 1, dH = -0.099936, is_accept = 1
n = 119, r = 0.799658, dH = 0.223571, is_accept = 1
n = 120, r = 0.839998, dH = 0.174355, is_accept = 1
n = 121, r = 0.188901, dH = 1.66653, is_accept = 0
n = 122, r = 0.984779, dH = 0.0153375, is_accept = 1
n = 123, r = 1, dH = -0.128089, is_accept = 1
n = 124, r = 1, dH = -0.255068, is_accept = 1
n = 125, r = 0.80459, dH = 0.217422, is_accept = 1
n = 126, r = 0.735907, dH = 0.306651, is_accept = 1
n = 127, r = 0.983254, dH = 0.016888, is_accept = 1
n = 128, r = 0.863272, dH = 0.147026, is_accept = 0
n = 129, r = 1, dH = -0.0699341, is_accept = 1
n = 130, r = 0.775085, dH = 0.254783, is_accept = 1
n = 131, r = 1, dH = -0.0383093, is_accept = 1
n = 132, r = 0.874947, dH = 0.133592, is_accept = 1
n = 133, r = 1, dH = -0.106139, is_accept = 1
n = 134, r = 1, dH = -0.0903845, is_accept = 1
n = 135, r = 0.424997, dH = 0.855672, is_accept = 0
n = 136, r = 0.7923, dH = 0.232815, is_accept = 0
n = 137, r = 0.604191, dH = 0.503864, is_accept = 1
n = 138, r = 0.939206, dH = 0.0627203, is_accept = 1
n = 139, r = 0.856681, dH = 0.154689, is_accept = 1
n = 140, r = 1, dH = -0.023633, is_accept = 1
n = 141, r = 1, dH = -0.267195, is_accept = 1
n = 142, r = 1, dH = -0.102308, is_accept = 1
n = 143, r = 0.646555, dH = 0.436097, is_accept = 0
n = 144, r = 0.902297, dH = 0.102812, is_accept = 0
n = 145, r = 0.290295, dH = 1.23686, is_accept = 0
n = 146, r = 0.885628, dH = 0.121458, is_accept = 1
n = 147, r = 1, dH = -0.681359, is_accept = 1
n = 148, r = 1, dH = -0.872441, is_accept = 1
n = 149, r = 1, dH = -0.0832213, is_accept = 1
n = 150, r = 1, dH = -0.141136, is_accept = 1
n = 151, r = 0.941771, dH = 0.0599932, is_accept = 1
n = 152, r = 0.712212, dH = 0.33938, is_accept = 0
n = 153, r = 0.680542, dH = 0.384866, is_accept = 1
n = 154, r = 1, dH = -0.201712, is_accept = 1
n = 155, r = 1, dH = -0.22825, is_accept = 1
n = 156, r = 1, dH = -0.225924, is_accept = 1
n = 157, r = 0.795678, dH = 0.228561, is_accept = 1
n = 158, r = 0.91014, dH = 0.0941572, is_accept = 1
n = 159, r = 1, dH = -0.700192, is_accept = 1
n = 160, r = 1, dH = -0.212974, is_accept = 1
n = 161, r = 0.0083331, dH = 4.78752, is_accept = 0
n = 162, r = 1, dH = -0.214966, is_accept = 1
n = 163, r = 0.119837, dH = 2.12162, is_accept = 0
n = 164, r = 0.481113, dH = 0.731653, is_accept = 1
n = 165, r = 1, dH = -0.247462, is_accept = 1
n = 166, r = 0.695479, dH = 0.363154, is_accept = 1
n = 167, r = 0.698835, dH = 0.35834, is_accept = 1
n = 168, r = 1, dH = -0.127291, is_accept = 1
n = 169, r = 1, dH = -0.0860329, is_accept = 1
n = 170, r = 0.961329, dH = 0.0394385, is_accept = 0
n = 171, r = 0.673352, dH = 0.395487, is_accept = 0
n = 172, r = 0.797438, dH = 0.226351, is_accept = 1
n = 173, r = 0.940033, dH = 0.0618401, is_accept = 1
n = 174, r = 0.0569673, dH = 2.86528, is_accept = 0
n = 175, r = 0.751283, dH = 0.285972, is_accept = 1
n = 176, r = 0.685063, dH = 0.378245, is_accept = 0
n = 177, r = 0.920514, dH = 0.0828234, is_accept = 1
n = 178, r = 0.983804, dH = 0.0163283, is_accept = 1
n = 179, r = 0.643631, dH = 0.44063, is_accept = 1
n = 180, r = 0.0844386, dH = 2.47173, is_accept = 0
n = 181, r = 0.985195, dH = 0.0149162, is_accept = 1
n = 182, r = 0.959928, dH = 0.0408966, is_accept = 1
n = 183, r = 0.779134, dH = 0.249572, is_accept = 1
n = 184, r = 1, dH = -0.0656412, is_accept = 1
n = 185, r = 1, dH = -0.382378, is_accept = 1
n = 186, r = 0.659296, dH = 0.416582, is_accept = 1
n = 187, r = 1, dH = -0.148974, is_accept = 1
n = 188, r = 1, dH = -0.158171, is_accept = 1
n = 189, r = 1, dH = -0.0937007, is_accept = 1
n = 190, r = 1, dH = -0.0947292, is_accept = 1
n = 191, r = 1, dH = -0.032027, is_accept = 1
n = 192, r = 1, dH = -0.203293, is_accept = 1
n = 193, r = 0.872489, dH = 0.136405, is_accept = 1
n = 194, r = 0.94069, dH = 0.0611413, is_accept = 1
n = 195, r = 0.945269, dH = 0.0562857, is_accept = 1
n = 196, r = 0.78841, dH = 0.237738, is_accept = 1
n = 197, r = 0.8472, dH = 0.165819, is_accept = 1
n = 198, r = 1, dH = -0.683392, is_accept = 1
n = 199, r = 0.841034, dH = 0.173123, is_accept = 1
n = 200, r = 1, dH = -0.165982, is_accept = 1
n = 201, r = 0.654053, dH = 0.424566, is_accept = 0
n = 202, r = 0.824119, dH = 0.193441, is_accept = 0
n = 203, r = 1, dH = -0.507054, is_accept = 1
n = 204, r = 0.769405, dH = 0.262137, is_accept = 0
n = 205, r = 1, dH = -0.027546, is_accept = 1
n = 206, r = 1, dH = -0.414603, is_accept = 1
n = 207, r = 1, dH = -0.276653, is_accept = 1
n = 208, r = 0.994202, dH = 0.00581488, is_accept = 1
n = 209, r = 1, dH = -0.390863, is_accept = 1
n = 210, r = 0.922681, dH = 0.0804718, is_accept = 1
n = 211, r = 1, dH = -0.331225, is_accept = 1
n = 212, r = 1, dH = -0.0038084, is_accept = 1
n = 213, r = 1, dH = -0.296828, is_accept = 1
n = 214, r = 0.900241, dH = 0.105092, is_accept = 1
n = 215, r = 0.178368, dH = 1.72391, is_accept = 0
n = 216, r = 0.397225, dH = 0.923253, is_accept = 1
n = 217, r = 0.563013, dH = 0.574452, is_accept = 1
n = 218, r = 1, dH = -0.0838908, is_accept = 1
n = 219, r = 0.401106, dH = 0.91353, is_accept = 1
n = 220, r = 1, dH = -0.236775, is_accept = 1
n = 221, r = 0.879682, dH = 0.128195, is_accept = 0
n = 222, r = 1, dH = -0.202006, is_accept = 1
n = 223, r = 1, dH = -0.428745, is_accept = 1
n = 224, r = 1, dH = -0.193073, is_accept = 1
n = 225, r = 0.350857, dH = 1.04738, is_accept = 0
n = 226, r = 1, dH = -0.0410875, is_accept = 1
n = 227, r = 1, dH = -0.0886467, is_accept = 1
n = 228, r = 0.777028, dH = 0.252279, is_accept = 1
n = 229, r = 0.943522, dH = 0.0581353, is_accept = 1
n = 230, r = 0.837273, dH = 0.177605, is_accept = 1
n = 231, r = 0.823812, dH = 0.193813, is_accept = 1
n = 232, r = 1, dH = -0.0717784, is_accept = 1
n = 233, r = 0.874216, dH = 0.134427, is_accept = 1
n = 234, r = 5.72766e-08, dH = 16.6754, is_accept = 0
n = 235, r = 0.806542, dH = 0.215, is_accept = 1
n = 236, r = 0.80682, dH = 0.214655, is_accept = 1
n = 237, r = 1, dH = -0.306058, is_accept = 1
n = 238, r = 1, dH = -0.0596376, is_accept = 1
n = 239, r = 1, dH = -1.00685, is_accept = 1
n = 240, r = 1, dH = -0.0477167, is_accept = 1
n = 241, r = 1, dH = -0.271987, is_accept = 1
n = 242, r = 0.565667, dH = 0.569749, is_accept = 1
n = 243, r = 0.826151, dH = 0.190978, is_accept = 1
n = 244, r = 1, dH = -0.772156, is_accept = 1
n = 245, r = 0.844471, dH = 0.169045, is_accept = 0
n = 246, r = 0.809914, dH = 0.210827, is_accept = 0
n = 247, r = 0.813814, dH = 0.206024, is_accept = 1
n = 248, r = 0.940845, dH = 0.0609772, is_accept = 1
n = 249, r = 0.0318682, dH = 3.44615, is_accept = 0
n = 250, r = 0.77849, dH = 0.2504, is_accept = 1
n = 251, r = 0.990992, dH = 0.00904904, is_accept = 1
n = 252, r = 1, dH = -0.370098, is_accept = 1
n = 253, r = 1, dH = -0.191298, is_accept = 1
n = 254, r = 0.97777, dH = 0.0224809, is_accept = 1
n = 255, r = 0.180996, dH = 1.70928, is_accept = 0
n = 256, r = 0.678454, dH = 0.387938, is_accept = 0
n = 257, r = 0.758929, dH = 0.275848, is_accept = 1
n = 258, r = 0.952535, dH = 0.0486284, is_accept = 1
n = 259, r = 1, dH = -0.0716654, is_accept = 1
n = 260, r = 1, dH = -0.0881904, is_accept = 1
n = 261, r = 0.0759895, dH = 2.57716, is_accept = 0
n = 262, r = 0.857138, dH = 0.154157, is_accept = 1
n = 263, r = 1, dH = -0.063379, is_accept = 1
n = 264, r = 1, dH = -0.203093, is_accept = 1
n = 265, r = 1, dH = -0.0294506, is_accept = 1
n = 266, r = 1, dH = -0.838764, is_accept = 1
n = 267, r = 0.985207, dH = 0.0149038, is_accept = 1
n = 268, r = 0.896241, dH = 0.109546, is_accept = 1
n = 269, r = 1, dH = -0.93238, is_accept = 1
n = 270, r = 1, dH = -0.0053594, is_accept = 1
n = 271, r = 1, dH = -0.178737, is_accept = 1
n = 272, r = 0.54545, dH = 0.606145, is_accept = 1
n = 273, r = 1, dH = -0.0824691, is_accept = 1
n = 274, r = 0.89676, dH = 0.108967, is_accept = 1
n = 275, r = 0.870105, dH = 0.139142, is_accept = 1
n = 276, r = 6.03096e-45, dH = 101.819, is_accept = 0
n = 277, r = 1, dH = -0.20281, is_accept = 1
n = 278, r = 0.427133, dH = 0.850659, is_accept = 0
n = 279, r = 0.00182172, dH = 6.30798, is_accept = 0
n = 280, r = 0.696732, dH = 0.361355, is_accept = 1
n = 281, r = 1, dH = -0.0399137, is_accept = 1
n = 282, r = 0.991985, dH = 0.00804768, is_accept = 1
n = 283, r = 0.674919, dH = 0.393163, is_accept = 1
n = 284, r = 1, dH = -0.321244, is_accept = 1
n = 285, r = 0.277954, dH = 1.2803, is_accept = 1
n = 286, r = 1, dH = -0.0207246, is_accept = 1
n = 287, r = 1, dH = -0.0327891, is_accept = 1
n = 288, r = 1, dH = -1.28349, is_accept = 1
n = 289, r = 1, dH = -0.0055331, is_accept = 1
n = 290, r = 0.891042, dH = 0.115364, is_accept = 1
n = 291, r = 1, dH = -0.290058, is_accept = 1
n = 292, r = 0.00460091, dH = 5.3815, is_accept = 0
n = 293, r = 0.650019, dH = 0.430753, is_accept = 0
n = 294, r = 1, dH = -0.316608, is_accept = 1
n = 295, r = 1, dH = -0.0755325, is_accept = 1
n = 296, r = 1, dH = -0.0665454, is_accept = 1
n = 297, r = 0.863895, dH = 0.146304, is_accept = 0
n = 298, r = 0.885049, dH = 0.122112, is_accept = 0
n = 299, r = 1, dH = -0.0207825, is_accept = 1
n = 300, r = 1, dH = -0.0471595, is_accept = 1
n = 301, r = 1, dH = -0.0867464, is_accept = 1
n = 302, r = 0.855491, dH = 0.15608, is_accept = 1
n = 303, r = 0.811927, dH = 0.208345, is_accept = 1
n = 304, r = 0.83748, dH = 0.177358, is_accept = 0
n = 305, r = 0.873201, dH = 0.135589, is_accept = 1
n = 306, r = 1, dH = -0.187122, is_accept = 1
n = 307, r = 0.000280145, dH = 8.1802, is_accept = 0
n = 308, r = 0.890022, dH = 0.116509, is_accept = 1
n = 309, r = 0.679347, dH = 0.386623, is_accept = 1
n = 310, r = 0.664379, dH = 0.408902, is_accept = 1
n = 311, r = 1.22732e-08, dH = 18.2158, is_accept = 0
n = 312, r = 0.0152104, dH = 4.18577, is_accept = 1
n = 313, r = 0.672242, dH = 0.397137, is_accept = 1
n = 314, r = 0.849828, dH = 0.162721, is_accept = 1
n = 315, r = 0.456313, dH = 0.784576, is_accept = 0
n = 316, r = 1, dH = -0.00901179, is_accept = 1
n = 317, r = 0.970731, dH = 0.0297054, is_accept = 1
n = 318, r = 0.700004, dH = 0.356669, is_accept = 1
n = 319, r = 0.988962, dH = 0.0110992, is_accept = 1
n = 320, r = 0.000694279, dH = 7.27264, is_accept = 0
n = 321, r = 1.74282e-08, dH = 17.8652, is_accept = 0
n = 322, r = 0.00297422, dH = 5.81777, is_accept = 0
n = 323, r = 1, dH = -0.287419, is_accept = 1
n = 324, r = 0.409014, dH = 0.894005, is_accept = 1
n = 325, r = 1, dH = -1.27332, is_accept = 1
n = 326, r = 0.839215, dH = 0.175288, is_accept = 1
n = 327, r = 0.894851, dH = 0.111098, is_accept = 1
