openmp threads = 1
eigen threads = 1
seed = 1352
exact = 9.585581566092005e-01
n = 108, r = 0.847517, dH = 0.165444, is_accept = 0
n = 109, r = 0.699043, dH = 0.358043, is_accept = 0
n = 110, r = 0.857246, dH = 0.154031, is_accept = 1
n = 111, r = 0.991314, dH = 0.00872392, is_accept = 1
n = 112, r = 1, dH = -0.0570499, is_accept = 1
n = 113, r = 0.896283, dH = 0.109499, is_accept = 1
n = 114, r = 1, dH = -0.0626153, is_accept = 1
n = 115, r = 0.000337539, dH = 7.99383, is_accept = 0
n = 116, r = 0.799247, dH = 0.224086, is_accept = 1
n = 117, r = 0.176565, dH = 1.73407, is_accept = 1
n = 118, r = 1, dH = -0.816042, is_accept = 1
n = 119, r = 1, dH = -0.158368, is_accept = 1
n = 120, r = 0.738114, dH = 0.303657, is_accept = 1
n = 121, r = 0.969609, dH = 0.0308627, is_accept = 1
n = 122, r = 0.844365, dH = 0.169171, is_accept = 0
n = 123, r = 0.977539, dH = 0.0227172, is_accept = 1
n = 124, r = 1, dH = -0.0734721, is_accept = 1
n = 125, r = 0.559776, dH = 0.580219, is_accept = 0
n = 126, r = 1, dH = -0.259376, is_accept = 1
n = 127, r = 0.765982, dH = 0.266597, is_accept = 1
n = 128, r = 0.877756, dH = 0.130386, is_accept = 1
n = 129, r = 0.249255, dH = 1.38928, is_accept = 0
n = 130, r = 0.930306, dH = 0.0722413, is_accept = 1
n = 131, r = 0.680397, dH = 0.385079, is_accept = 1
n = 132, r = 0.671811, dH = 0.397778, is_accept = 0
n = 133, r = 0.470098, dH = 0.754814, is_accept = 0
n = 134, r = 1, dH = -0.426181, is_accept = 1
n = 135, r = 1, dH = -0.0360787, is_accept = 1
n = 136, r = 1, dH = -0.218688, is_accept = 1
n = 137, r = 0.34592, dH = 1.06155, is_accept = 0
n = 138, r = 0.996838, dH = 0.00316698, is_accept = 1
n = 139, r = 1, dH = -0.0101135, is_accept = 1
n = 140, r = 0.00166804, dH = 6.39611, is_accept = 0
n = 141, r = 1, dH = -0.0537239, is_accept = 1
n = 142, r = 0.988921, dH = 0.0111413, is_accept = 1
n = 143, r = 1, dH = -0.606349, is_accept = 1
n = 144, r = 1, dH = -0.0927112, is_accept = 1
n = 145, r = 1, dH = -0.38946, is_accept = 1
n = 146, r = 0.906824, dH = 0.0978074, is_accept = 1
n = 147, r = 0.916932, dH = 0.0867216, is_accept = 1
n = 148, r = 1, dH = -0.223194, is_accept = 1
n = 149, r = 1, dH = -0.224075, is_accept = 1
n = 150, r = 0.83252, dH = 0.183298, is_accept = 1
n = 151, r = 0.905154, dH = 0.0996506, is_accept = 1
n = 152, r = 0.510047, dH = 0.673253, is_accept = 1
n = 153, r = 1, dH = -0.342061, is_accept = 1
n = 154, r = 1, dH = -0.194856, is_accept = 1
n = 155, r = 1, dH = -0.0320002, is_accept = 1
n = 156, r = 0.771179, dH = 0.259835, is_accept = 1
n = 157, r = 1, dH = -0.177696, is_accept = 1
n = 158, r = 0.674104, dH = 0.394372, is_accept = 1
n = 159, r = 1, dH = -0.0833179, is_accept = 1
n = 160, r = 1, dH = -0.401124, is_accept = 1
n = 161, r = 0.0929299, dH = 2.37591, is_accept = 0
n = 162, r = 1, dH = -0.00228056, is_accept = 1
n = 163, r = 0.859913, dH = 0.150924, is_accept = 1
n = 164, r = 0.705964, dH = 0.348191, is_accept = 0
n = 165, r = 0.982789, dH = 0.0173608, is_accept = 1
n = 166, r = 6.85457e-11, dH = 23.4035, is_accept = 0
n = 167, r = 1, dH = -0.0827853, is_accept = 1
n = 168, r = 1, dH = -0.16518, is_accept = 1
n = 169, r = 1, dH = -0.172653, is_accept = 1
n = 170, r = 1, dH = -0.0833441, is_accept = 1
n = 171, r = 1, dH = -0.118519, is_accept = 1
n = 172, r = 1, dH = -0.0978861, is_accept = 1
n = 173, r = 1, dH = -0.0194755, is_accept = 1
n = 174, r = 1, dH = -0.280216, is_accept = 1
n = 175, r = 1, dH = -0.964783, is_accept = 1
n = 176, r = 0.861402, dH = 0.149194, is_accept = 1
n = 177, r = 1, dH = -0.208359, is_accept = 1
n = 178, r = 0.661177, dH = 0.413733, is_accept = 1
n = 179, r = 0.998405, dH = 0.00159673, is_accept = 1
n = 180, r = 0.7612, dH = 0.272859, is_accept = 1
n = 181, r = 1, dH = -0.282277, is_accept = 1
n = 182, r = 0.837361, dH = 0.177499, is_accept = 1
n = 183, r = 0.0462711, dH = 3.07324, is_accept = 0
n = 184, r = 1, dH = -0.439208, is_accept = 1
n = 185, r = 0.894371, dH = 0.111634, is_accept = 0
n = 186, r = 0.646884, dH = 0.435588, is_accept = 1
n = 187, r = 1, dH = -0.146791, is_accept = 1
n = 188, r = 0.537397, dH = 0.621019, is_accept = 0
n = 189, r = 0.358363, dH = 1.02621, is_accept = 1
n = 190, r = 0.824103, dH = 0.193459, is_accept = 1
n = 191, r = 0.643101, dH = 0.441453, is_accept = 0
n = 192, r = 0.812042, dH = 0.208203, is_accept = 1
n = 193, r = 0.695374, dH = 0.363306, is_accept = 1
n = 194, r = 1, dH = -0.559702, is_accept = 1
n = 195, r = 0.899436, dH = 0.105987, is_accept = 1
n = 196, r = 0.730462, dH = 0.314078, is_accept = 0
n = 197, r = 0.939465, dH = 0.0624445, is_accept = 1
n = 198, r = 1, dH = -0.0975691, is_accept = 1
n = 199, r = 0.0756692, dH = 2.58138, is_accept = 0
n = 200, r = 0.87657, dH = 0.131739, is_accept = 1
n = 201, r = 0.491314, dH = 0.710672, is_accept = 0
n = 202, r = 0.768239, dH = 0.263654, is_accept = 1
n = 203, r = 0.419959, dH = 0.867598, is_accept = 1
n = 204, r = 1, dH = -0.270237, is_accept = 1
n = 205, r = 0.961844, dH = 0.0389026, is_accept = 1
n = 206, r = 0.824477, dH = 0.193006, is_accept = 1
n = 207, r = 0.297278, dH = 1.21309, is_accept = 0
n = 208, r = 0.964726, dH = 0.0359112, is_accept = 0
n = 209, r = 0.769482, dH = 0.262038, is_accept = 0
n = 210, r = 0.853714, dH = 0.158159, is_accept = 1
n = 211, r = 1, dH = -0.430934, is_accept = 1
n = 212, r = 1, dH = -0.24107, is_accept = 1
n = 213, r = 0.0324766, dH = 3.42724, is_accept = 0
n = 214, r = 0.046225, dH = 3.07423, is_accept = 0
n = 215, r = 0.957993, dH = 0.0429146, is_accept = 1
n = 216, r = 0.597562, dH = 0.514898, is_accept = 0
n = 217, r = 1, dH = -0.00659025, is_accept = 1
n = 218, r = 1, dH = -0.01873, is_accept = 1
n = 219, r = 0.294422, dH = 1.22274, is_accept = 1
n = 220, r = 1, dH = -1.08109, is_accept = 1
n = 221, r = 0.92896, dH = 0.0736901, is_accept = 1
n = 222, r = 0.837333, dH = 0.177533, is_accept = 1
n = 223, r = 0.691516, dH = 0.368869, is_accept = 1
n = 224, r = 0.18247, dH = 1.70117, is_accept = 1
n = 225, r = 1, dH = -0.279353, is_accept = 1
n = 226, r = 0.559184, dH = 0.581277, is_accept = 1
n = 227, r = 0.177807, dH = 1.72705, is_accept = 0
n = 228, r = 1, dH = -0.568355, is_accept = 1
n = 229, r = 1, dH = -0.0233446, is_accept = 1
n = 230, r = 1, dH = -0.0145098, is_accept = 1
n = 231, r = 1, dH = -0.132117, is_accept = 1
n = 232, r = 0.909853, dH = 0.0944727, is_accept = 1
n = 233, r = 0.520522, dH = 0.652923, is_accept = 0
n = 234, r = 0.378369, dH = 0.971886, is_accept = 1
n = 235, r = 1, dH = -0.127009, is_accept = 1
n = 236, r = 0.0329032, dH = 3.41418, is_accept = 0
n = 237, r = 1, dH = -0.0855734, is_accept = 1
n = 238, r = 0.491485, dH = 0.710323, is_accept = 0
n = 239, r = 1, dH = -0.109932, is_accept = 1
n = 240, r = 0.786022, dH = 0.24077, is_accept = 1
n = 241, r = 1, dH = -0.055542, is_accept = 1
n = 242, r = 1, dH = -0.175686, is_accept = 1
n = 243, r = 1, dH = -0.0369434, is_accept = 1
n = 244, r = 1, dH = -0.187796, is_accept = 1
n = 245, r = 1, dH = -0.111293, is_accept = 1
n = 246, r = 0.853813, dH = 0.158043, is_accept = 1
n = 247, r = 0.498029, dH = 0.697096, is_accept = 1
n = 248, r = 1, dH = -0.177404, is_accept = 1
n = 249, r = 0.962155, dH = 0.0385799, is_accept = 1
n = 250, r = 0.884507, dH = 0.122725, is_accept = 1
n = 251, r = 0.667397, dH = 0.40437, is_accept = 1
n = 252, r = 0.461953, dH = 0.772291, is_accept = 0
n = 253, r = 0.234208, dH = 1.45155, is_accept = 0
n = 254, r = 1, dH = -0.899444, is_accept = 1
n = 255, r = 1, dH = -0.176302, is_accept = 1
n = 256, r = 1, dH = -0.0757285, is_accept = 1
n = 257, r = 1, dH = -0.175548, is_accept = 1
n = 258, r = 1, dH = -0.159158, is_accept = 1
n = 259, r = 1, dH = -0.0533282, is_accept = 1
n = 260, r = 1, dH = -0.226306, is_accept = 1
n = 261, r = 4.28731e-13, dH = 28.4779, is_accept = 0
n = 262, r = 0.645098, dH = 0.438353, is_accept = 1
n = 263, r = 4.26931e-16, dH = 35.3899, is_accept = 0
n = 264, r = 0.926983, dH = 0.0758205, is_accept = 1
n = 265, r = 1, dH = -0.136702, is_accept = 1
n = 266, r = 1, dH = -0.200044, is_accept = 1
n = 267, r = 0.940613, dH = 0.0612239, is_accept = 1
n = 268, r = 9.08847e-06, dH = 11.6085, is_accept = 0
n = 269, r = 0.0832936, dH = 2.48538, is_accept = 0
n = 270, r = 1, dH = -0.256435, is_accept = 1
n = 271, r = 1, dH = -0.183196, is_accept = 1
n = 272, r = 0.965672, dH = 0.0349309, is_accept = 1
n = 273, r = 1, dH = -0.046169, is_accept = 1
n = 274, r = 1, dH = -2.93516, is_accept = 1
n = 275, r = 0.463433, dH = 0.769094, is_accept = 0
n = 276, r = 0.851169, dH = 0.161145, is_accept = 1
n = 277, r = 1, dH = -0.131114, is_accept = 1
n = 278, r = 0.85517, dH = 0.156455, is_accept = 1
n = 279, r = 0.87399, dH = 0.134686, is_accept = 0
n = 280, r = 0.803522, dH = 0.21875, is_accept = 1
n = 281, r = 0.877605, dH = 0.130559, is_accept = 0
n = 282, r = 0.915859, dH = 0.087893, is_accept = 1
n = 283, r = 1, dH = -0.0131461, is_accept = 1
n = 284, r = 1, dH = -0.129148, is_accept = 1
n = 285, r = 0.96708, dH = 0.0334742, is_accept = 1
n = 286, r = 0.902648, dH = 0.102422, is_accept = 1
n = 287, r = 0.306382, dH = 1.18292, is_accept = 0
n = 288, r = 0.813608, dH = 0.206277, is_accept = 1
n = 289, r = 1, dH = -0.348329, is_accept = 1
n = 290, r = 1, dH = -0.00605864, is_accept = 1
n = 291, r = 1, dH = -0.105684, is_accept = 1
n = 292, r = 1, dH = -0.0383604, is_accept = 1
n = 293, r = 0.942275, dH = 0.0594582, is_accept = 1
n = 294, r = 0.983725, dH = 0.0164089, is_accept = 1
n = 295, r = 0.972832, dH = 0.0275441, is_accept = 1
n = 296, r = 1, dH = -0.386385, is_accept = 1
n = 297, r = 0.0336068, dH = 3.39303, is_accept = 0
n = 298, r = 0.631052, dH = 0.460367, is_accept = 0
n = 299, r = 1, dH = -0.0967654, is_accept = 1
n = 300, r = 0.674897, dH = 0.393195, is_accept = 1
n = 301, r = 0.989547, dH = 0.010508, is_accept = 1
n = 302, r = 0.782394, dH = 0.245396, is_accept = 0
n = 303, r = 0.849197, dH = 0.163465, is_accept = 1
n = 304, r = 0.867479, dH = 0.142165, is_accept = 1
n = 305, r = 0.79994, dH = 0.223219, is_accept = 1
n = 306, r = 1, dH = -0.507709, is_accept = 1
n = 307, r = 1, dH = -0.0104388, is_accept = 1
n = 308, r = 0.885883, dH = 0.12117, is_accept = 1
n = 309, r = 1, dH = -0.362624, is_accept = 1
n = 310, r = 1, dH = -0.217037, is_accept = 1
n = 311, r = 0.678696, dH = 0.387582, is_accept = 0
n = 312, r = 0.000694908, dH = 7.27173, is_accept = 0
n = 313, r = 0.987245, dH = 0.0128373, is_accept = 1
n = 314, r = 1, dH = -0.0692192, is_accept = 1
n = 315, r = 0.443777, dH = 0.812434, is_accept = 1
n = 316, r = 0.649727, dH = 0.431204, is_accept = 1
n = 317, r = 1, dH = -0.386585, is_accept = 1
n = 318, r = 0.974463, dH = 0.0258683, is_accept = 1
n = 319, r = 0.991318, dH = 0.00872032, is_accept = 1
n = 320, r = 1, dH = -0.0418133, is_accept = 1
n = 321, r = 1, dH = -0.31112, is_accept = 1
n = 322, r = 0.876635, dH = 0.131664, is_accept = 1
n = 323, r = 1, dH = -0.0831327, is_accept = 1
n = 324, r = 0.992266, dH = 0.00776387, is_accept = 1
n = 325, r = 0.929914, dH = 0.0726627, is_accept = 1
n = 326, r = 1, dH = -0.00951819, is_accept = 1
n = 327, r = 0.867237, dH = 0.142443, is_accept = 0
n = 328, r = 0.833188, dH = 0.182497, is_accept = 1
n = 329, r = 0.600579, dH = 0.509862, is_accept = 1
n = 330, r = 0.77211, dH = 0.258628, is_accept = 0
n = 331, r = 1, dH = -0.0465915, is_accept = 1
n = 332, r = 0.815698, dH = 0.203711, is_accept = 1
n = 333, r = 0.530997, dH = 0.632998, is_accept = 1
n = 334, r = 1, dH = -0.252338, is_accept = 1
n = 335, r = 0.806704, dH = 0.214798, is_accept = 1
n = 336, r = 0.893585, dH = 0.112514, is_accept = 1
n = 337, r = 1, dH = -0.00565192, is_accept = 1
n = 338, r = 0.760896, dH = 0.273258, is_accept = 1
n = 339, r = 1, dH = -0.0771123, is_accept = 1
n = 340, r = 0.922799, dH = 0.0803442, is_accept = 1
n = 341, r = 1, dH = -0.240467, is_accept = 1
n = 342, r = 0.879557, dH = 0.128336, is_accept = 1
n = 343, r = 1, dH = -0.230515, is_accept = 1
n = 344, r = 0.870585, dH = 0.13859, is_accept = 1
n = 345, r = 0.939505, dH = 0.0624018, is_accept = 1
n = 346, r = 2.9791e-05, dH = 10.4213, is_accept = 0
n = 347, r = 0.167153, dH = 1.78885, is_accept = 0
n = 348, r = 1, dH = -0.370923, is_accept = 1
n = 349, r = 0.732477, dH = 0.311323, is_accept = 1
n = 350, r = 0.876225, dH = 0.132133, is_accept = 1
n = 351, r = 1, dH = -0.0425221, is_accept = 1
n = 352, r = 0.440429, dH = 0.820006, is_accept = 1
n = 353, r = 0.583458, dH = 0.538783, is_accept = 1
n = 354, r = 0.583202, dH = 0.539222, is_accept = 0
n = 355, r = 1, dH = -0.00525017, is_accept = 1
n = 356, r = 0.847065, dH = 0.165978, is_accept = 1
n = 357, r = 1, dH = -0.868685, is_accept = 1
n = 358, r = 0.600896, dH = 0.509333, is_accept = 1
n = 359, r = 1, dH = -0.250697, is_accept = 1
n = 360, r = 1, dH = -0.257899, is_accept = 1
n = 361, r = 5.36859e-09, dH = 19.0427, is_accept = 0
n = 362, r = 0.332899, dH = 1.09992, is_accept = 1
n = 363, r = 0.00323833, dH = 5.7327, is_accept = 0
n = 364, r = 1, dH = -0.0137671, is_accept = 1
n = 365, r = 0.902092, dH = 0.103039, is_accept = 1
n = 366, r = 0.990765, dH = 0.00927744, is_accept = 1
n = 367, r = 0.481725, dH = 0.730381, is_accept = 1
n = 368, r = 1, dH = -0.0818543, is_accept = 1
n = 369, r = 1, dH = -0.337906, is_accept = 1
n = 370, r = 0.963853, dH = 0.036816, is_accept = 0
n = 371, r = 1, dH = -0.151076, is_accept = 1
n = 372, r = 1, dH = -0.0670587, is_accept = 1
n = 373, r = 0.893399, dH = 0.112722, is_accept = 1
n = 374, r = 1, dH = -0.221697, is_accept = 1
n = 375, r = 0.988829, dH = 0.0112334, is_accept = 1
n = 376, r = 1, dH = -0.0236859, is_accept = 1
n = 377, r = 1, dH = -0.0869755, is_accept = 1
n = 378, r = 0.863964, dH = 0.146224, is_accept = 1
n = 379, r = 0.554797, dH = 0.589154, is_accept = 1
n = 380, r = 0.965096, dH = 0.035528, is_accept = 1
n = 381, r = 1, dH = -0.0476381, is_accept = 1
n = 382, r = 0.703892, dH = 0.351131, is_accept = 1
n = 383, r = 6.66152e-05, dH = 9.61658, is_accept = 0
n = 384, r = 1, dH = -0.361521, is_accept = 1
n = 385, r = 1, dH = -0.0154557, is_accept = 1
n = 386, r = 0.721273, dH = 0.326738, is_accept = 1
n = 387, r = 0.705043, dH = 0.349497, is_accept = 1
n = 388, r = 1, dH = -0.112807, is_accept = 1
n = 389, r = 1, dH = -0.0325101, is_accept = 1
n = 390, r = 0.750756, dH = 0.286675, is_accept = 0
n = 391, r = 1, dH = -0.119845, is_accept = 1
n = 392, r = 1, dH = -0.0670785, is_accept = 1
n = 393, r = 1, dH = -0.234269, is_accept = 1
n = 394, r = 0.111979, dH = 2.18944, is_accept = 0
n = 395, r = 0.810554, dH = 0.210038, is_accept = 1
n = 396, r = 0.840293, dH = 0.174005, is_accept = 1
n = 397, r = 1, dH = -0.27837, is_accept = 1
n = 398, r = 0.651672, dH = 0.428214, is_accept = 0
n = 399, r = 0.665081, dH = 0.407846, is_accept = 0
n = 400, r = 0.81132, dH = 0.209093, is_accept = 0
n = 401, r = 0.994978, dH = 0.00503425, is_accept = 1
n = 402, r = 0.036787, dH = 3.30261, is_accept = 0
n = 403, r = 1, dH = -0.309696, is_accept = 1
n = 404, r = 0.895059, dH = 0.110865, is_accept = 1
n = 405, r = 0.879716, dH = 0.128156, is_accept = 1
n = 406, r = 0.999354, dH = 0.000646442, is_accept = 1
n = 407, r = 1, dH = -0.187384, is_accept = 1
n = 408, r = 0.849313, dH = 0.163328, is_accept = 1
n = 409, r = 0.830323, dH = 0.18594, is_accept = 1
n = 410, r = 1, dH = -0.633496, is_accept = 1
n = 411, r = 1, dH = -0.0894633, is_accept = 1
n = 412, r = 0.796069, dH = 0.228069, is_accept = 1
n = 413, r = 0.851507, dH = 0.160748, is_accept = 1
n = 414, r = 1, dH = -0.215657, is_accept = 1
n = 415, r = 0.941652, dH = 0.0601195, is_accept = 1
n = 416, r = 0.0863791, dH = 2.44901, is_accept = 0
n = 417, r = 1, dH = -0.0154832, is_accept = 1
n = 418, r = 1, dH = -0.393805, is_accept = 1
n = 419, r = 0.923283, dH = 0.0798194, is_accept = 1
n = 420, r = 0.658605, dH = 0.417631, is_accept = 0
n = 421, r = 0.847353, dH = 0.165638, is_accept = 1
n = 422, r = 1, dH = -0.218361, is_accept = 1
n = 423, r = 0.896372, dH = 0.1094, is_accept = 0
n = 424, r = 0.331084, dH = 1.10538, is_accept = 1
n = 425, r = 1, dH = -0.0162202, is_accept = 1
n = 426, r = 0.0512751, dH = 2.97055, is_accept = 0
n = 427, r = 0.113051, dH = 2.17992, is_accept = 0
n = 428, r = 1, dH = -0.019632, is_accept = 1
n = 429, r = 1, dH = -0.382776, is_accept = 1
n = 430, r = 0.996003, dH = 0.00400538, is_accept = 1
n = 431, r = 1, dH = -0.136462, is_accept = 1
n = 432, r = 0.805658, dH = 0.216096, is_accept = 1
n = 433, r = 1, dH = -0.060613, is_accept = 1
n = 434, r = 0.931433, dH = 0.0710312, is_accept = 1
n = 435, r = 0.795164, dH = 0.229207, is_accept = 1
n = 436, r = 1, dH = -0.0939432, is_accept = 1
n = 437, r = 0.893209, dH = 0.112935, is_accept = 1
n = 438, r = 0.758582, dH = 0.276304, is_accept = 1
n = 439, r = 1, dH = -0.250647, is_accept = 1
n = 440, r = 1, dH = -0.334495, is_accept = 1
n = 441, r = 0.824886, dH = 0.192511, is_accept = 1
n = 442, r = 0.618741, dH = 0.480069, is_accept = 1
n = 443, r = 0.562984, dH = 0.574504, is_accept = 1
n = 444, r = 1, dH = -0.419099, is_accept = 1
n = 445, r = 0.369447, dH = 0.995749, is_accept = 0
n = 446, r = 1, dH = -0.0249123, is_accept = 1
n = 447, r = 1, dH = -0.134119, is_accept = 1
n = 448, r = 1, dH = -0.0082929, is_accept = 1
n = 449, r = 1, dH = -0.0666312, is_accept = 1
